Compound,Hessian_eig_min_abs,C11,C22,C66,Dyn_stability_level
OH-OH-Ba,3.136000587369276e-05,33.007338,33.007068,9.321372,m
OH-OH-Be,1.926014503079913e-05,96.025514,96.02553331,24.97261442,m
OH-OH-Ca,2.8417156838433668e-05,50.202342,50.202216,16.639704000000002,m
OH-OH-Cd,5.2326552124246286e-05,45.58023,45.58014,12.299292,m
OH-OH-Co,9.723153969824554e-06,48.74715359,48.74713808,10.00679323,h
OH-OH-Cu,4.7446985969103636e-05,49.847471999999996,49.847454,11.58318,m
OH-OH-Fe,0.0003992598122916701,73.13497688,73.13496069,19.86067581,m
OH-OH-Mg,0.0030575940594387238,74.04819245,74.04813332,26.44817584,m
OH-OH-Mn,0.0012947675418491645,38.1674104,38.1674104,-6.84039662,l
OH-OH-Ni,0.007877959876213245,50.71351763,50.71348823,7.92780736,m
OH-OH-Pb,7.182813431937495e-05,31.81851084,31.81830792,8.42472743,m
OH-OH-Pd,1.1284943997319342e-05,38.844306,38.844252000000004,-1.83762,l
OH-OH-Pt,9.037762945597746e-06,-31.799142,-31.799106,-82.939428,l
OH-OH-Sr,4.0464447586916895e-06,42.05061779,42.05042452,13.08933405,h
OH-OH-Zn,0.0003724818109085967,64.967202,64.967202,17.614548000000003,m
OH-O-Al,9.171819922181268e-05,119.95443464,119.95434725,26.57598776,m
OH-O-Bi,0.000211027072236025,59.548086,59.547978,17.254296,m
OH-O-Ce,3.8971463515796054e-05,75.3097069,75.30949184,24.63806148,m
OH-O-Co,0.00010038136153257143,104.9746908,104.97463674,40.68414626,m
OH-O-Cr,0.0004925221397956729,64.62125553,64.62123797,13.91939521,m
OH-O-Fe,0.0006601043892471428,122.02689358,122.02684104,40.25990302,m
OH-O-Ga,8.637218744344761e-06,91.4853155,91.4852197,10.42254365,h
OH-O-Gd,9.072370945393255e-07,95.90294053,95.90294053,29.35427381,h
OH-O-In,0.0008349991566882112,80.82273599999999,80.822592,20.023938,m
OH-O-Ir,0.00013808063743942563,124.49525929,124.49510588,43.61627788,m
OH-O-La,0.000979758483244368,77.02772399999999,77.02754399999999,22.682052,m
OH-O-Lu,0.06747032898929291,100.94465921,100.94451994,33.46021334,m
OH-O-Nd,0.0002551963253367739,81.81027823,81.81009613,25.81386408,m
OH-O-Rh,1.9677195946292034e-05,78.744762,78.744708,30.638034,m
OH-O-Ru,9.741787115792403e-05,94.000608,94.00059,31.14,m
OH-O-Sc,8.272230303881461e-05,104.15963049,104.1595323,34.7121755,m
OH-O-Sm,0.00015696852758415814,85.20599277,85.20579285,27.19690527,m
OH-O-Y,0.000189040886907926,90.34729200000001,90.347094,29.682756,m
O-O-Ce,3.387635831833191e-05,116.597448,116.597394,33.95583,m
O-O-Ge,2.397195808329584e-07,156.47697303,156.47690757,55.2904809,h
O-O-Hf,5.785729383240017e-07,168.8278983,168.82788064,65.79529971,h
O-O-Ir,3.4655556630410782e-06,152.01408575,152.01406712,51.28681837,h
O-O-Mo,2.1850281507373814e-05,96.89315033,96.89315033,10.85363224,m
O-O-Os,0.00019231826095267483,57.829235700000005,57.82925415,12.98863292,m
O-O-Pd,2.3599533185656728e-07,119.19790573,119.19788649,44.50004027,h
O-O-Pt,9.499489847723577e-06,138.83402529,138.8339882,53.24173206,h
O-O-Re,3.9304769665285865e-08,97.71077972,97.71077972,41.08900064,h
O-O-Ru,0.00016568943595396854,66.302367,66.302367,13.34191037,m
O-O-Sn,1.5954642154673935e-05,127.89592603,127.89594379,45.72020514,m
O-O-Tc,2.8834993504621344e-06,84.4043362,84.40435429,27.43036192,h
O-O-Te,7.921127122601947e-07,80.23355974,80.23355974,31.43267562,h
O-O-Ti,5.6570608418367925e-06,153.50715553,153.50713526,58.17361885,h
O-O-W,1.8735564123230632e-06,119.80987533,119.80987533,22.70617661,h
O-O-Zr,7.142607864419058e-06,157.01019495,157.01026368,59.35007963,h
NH-OH-Al,3.822053423680264e-05,97.65568085,97.6555994,13.15430387,m
NH-OH-Bi,3.57162186757663e-05,55.74448,55.744319999999995,15.97528,m
NH-OH-Ce,6.068354166151682e-06,72.07132,72.07134,21.726879999999998,h
NH-OH-Co,6.672837381395175e-05,119.71605441,119.71598374,43.89409574,m
NH-OH-Cr,1.0843630053706384e-05,97.41189958,97.41182356,28.24884862,m
NH-OH-Fe,0.0005633133965471662,66.24751608,66.24746112,-0.58442887,l
NH-OH-Ga,0.00010724501315438052,66.17740553,66.17734504,-10.13791794,l
NH-OH-Gd,5.332936770680995e-05,74.48498319,74.48498319,25.4448742,m
NH-OH-In,1.649543210099428e-05,75.23162564,75.23144718,16.65405814,m
NH-OH-Ir,5.279141472634625e-05,93.0583385,93.05819615,33.901239700000005,m
NH-OH-La,0.00022867112877392382,66.89641999999999,66.89641999999999,20.891479999999998,m
NH-OH-Lu,0.7585615888688775,91.48620348,91.48590179,30.93723445,m
NH-OH-Nd,0.00010403241641995345,72.14596,72.1457,23.554920000000003,m
NH-OH-Rh,0.00013420851235249837,91.27479563,91.27469032,31.71827636,m
NH-OH-Ru,1.588290490645632e-05,48.59164086,48.59157271,-16.13158612,l
NH-OH-Sc,4.1683666551931455e-05,97.41501061,97.41487374,32.8693561,m
NH-OH-Sm,2.358162551504064e-05,76.43562762,76.43541411,25.12746939,m
NH-OH-Y,0.0002544096615138653,83.61236,83.61216,27.3215,m
PH-OH-Al,8.590094134484528e-05,1.46791056,1.46791056,-16.18116016,l
PH-OH-Bi,0.00012241253338293845,35.44117834,35.44121499,8.94301475,m
PH-OH-Ce,0.0009955368638900732,28.26342256,28.26342256,3.15213942,m
PH-OH-Co,2.346127167243229e-05,85.02944331,85.02941386,24.537148100000003,m
PH-OH-Cr,4.7228146490646456e-06,32.48148246,32.48148246,-24.0754947,l
PH-OH-Fe,2.5147826490418925e-05,29.637348699999997,29.637333399999996,-25.83771804,l
PH-OH-Ga,0.0012993021196676172,33.19462803,33.19446942,-6.69327438,l
PH-OH-Gd,1.4980721227007736e-05,37.29116967,37.29116967,10.90801325,m
PH-OH-In,0.00024135867350803662,32.06785048,32.06765315,0.90527013,m
PH-OH-Ir,7.903968560421201e-06,87.01457656,87.01456389,27.62887546,h
PH-OH-La,0.0003043446739532656,37.10870477,37.10870477,9.19251167,m
PH-OH-Lu,0.03166591369537927,40.46625045,40.46625045,12.23403057,m
PH-OH-Nd,0.00014871469968048568,42.02264789,42.02262958,13.45169682,m
PH-OH-Rh,1.172091627721082e-05,77.85972368,77.85972368,22.04543498,m
PH-OH-Ru,7.556490128575227e-05,17.07012071,17.07012071,-37.03347499,l
PH-OH-Sc,4.301892502687199e-05,35.76211633,35.76189774,9.60082554,m
PH-OH-Sm,0.0002561599937980573,45.02044764,45.02044764,14.33874254,m
PH-OH-Y,5.596085481547916e-05,43.29827306,43.29827306,13.29187852,m
S-OH-Al,9.93295268969946e-06,71.63311651,71.63295407,22.59354434,h
S-OH-Bi,6.430480701883312e-05,43.37879052,43.37874926,15.029290300000001,m
S-OH-Ce,4.532388559793504e-05,49.00136,49.00136,17.002979999999997,m
S-OH-Co,0.00015277335436999058,85.7116608,85.71158449,31.43430716,m
S-OH-Cr,0.00021640744148259742,85.11731624,85.11724894,33.33185698,m
S-OH-Fe,0.001890938336363539,38.38653402,38.38651821,-1.36098407,l
S-OH-Ga,8.350520341282372e-05,-211.42644655,-211.42612477,-256.23555971,l
S-OH-Gd,0.00036730678992549066,52.18487917,52.18486041,18.31566372,m
S-OH-In,7.089914460204849e-06,33.40222,33.40224,-2.37548,l
S-OH-Ir,2.355516911873621e-05,88.83452785,88.83439828,31.62462081,m
S-OH-La,8.958776130945136e-05,43.909259999999996,43.90914,14.68162,m
S-OH-Lu,0.4257210163740454,58.79824,58.79804,20.6341,m
S-OH-Nd,7.701984507276562e-05,47.16626,47.1662,16.581020000000002,m
S-OH-Rh,5.7482986645571816e-06,77.73275385,77.73265953,26.93461445,h
S-OH-Ru,1.9580573237178573e-05,24.17653339,24.17650369,-20.98762326,l
S-OH-Sc,5.08931117440219e-05,64.44533435,64.44518694,23.47874552,m
S-OH-Sm,1.9818780666308857e-06,49.67842,49.6783,17.46542,h
S-OH-Y,4.411545762022427e-05,52.30662,52.306459999999994,18.35258,m
Se-OH-Al,0.00036405261874962935,36.11051746,36.11041895,9.72232307,m
Se-OH-Bi,8.518652642911094e-05,43.57597226,43.57589674,14.60528563,m
Se-OH-Ce,0.00015805053693059836,46.7882768,46.7882768,16.93771046,m
Se-OH-Co,0.00023382361137220712,74.69133793,74.69119552,25.79444872,m
Se-OH-Cr,4.46648708482448e-05,73.26874165,73.26864663,28.84037443,m
Se-OH-Fe,0.0004382119719697501,47.58200397,47.58193052,2.76312542,m
Se-OH-Ga,0.00012029106094911272,33.47929985,33.47923959,-4.27345059,l
Se-OH-Gd,0.00014854291550187794,52.43666871,52.43666871,18.75178338,m
Se-OH-In,3.076834775854276e-05,-273.98417189,-273.98422821,-304.98190028,l
Se-OH-Ir,6.4930301362781194e-06,79.07406385,79.07385581,26.08466914,h
Se-OH-La,0.0017986213662600336,39.93399512,39.93384025,13.28536487,m
Se-OH-Lu,0.2103177941446852,51.94189168,51.94191179999999,17.38341055,m
Se-OH-Nd,1.6194217619322493e-05,46.69434362,46.6942643,16.77661426,m
Se-OH-Rh,2.396281971259307e-05,68.50866408,68.50852422,21.70457618,m
Se-OH-Ru,1.583501401236443e-05,17.17861334,17.17855811,-22.31654189,l
Se-OH-Sc,4.047156889719529e-05,65.98739336,65.98723421,24.34736249,m
Se-OH-Sm,9.539913381947262e-05,49.64376082,49.64362184,17.81637623,m
Se-OH-Y,3.347992657919661e-05,53.14121088,53.14101197,19.07226921,m
Te-OH-Al,0.013793385599877942,26.17248911,26.17238031,0.42844422,m
Te-OH-Bi,1.8648422842121494e-05,37.73674219,37.73668852,13.02147185,m
Te-OH-Ce,2.6027785181184068e-05,44.88728593,44.88728593,16.21960517,m
Te-OH-Co,0.0064189611599303606,66.88523337,66.88511292,19.85564651,m
Te-OH-Cr,0.015058955848273391,34.24500253,34.24482902,7.86500258,m
Te-OH-Fe,0.014370404685553131,-200.81419126,-200.81364278,6.07202799,l
Te-OH-Ga,0.01161465765826536,-5.80888145,-5.80888145,-21.72601999,l
Te-OH-Gd,2.6815050612529386e-05,42.6705278,42.67056452,15.22879036,m
Te-OH-In,0.016082659145777174,-59.32995238,-59.32962203,-63.78023059,l
Te-OH-Ir,0.01965868294142356,65.05063427,65.05041332,20.85235555,m
Te-OH-La,0.0002799684999554371,37.92078098,37.92078098,12.7593322,m
Te-OH-Lu,0.3175278508040914,39.38869862,39.38869862,12.11886085,m
Te-OH-Nd,1.87979294443349e-05,41.81422369,41.814130299999995,15.39310005,m
Te-OH-Rh,0.013905548012114936,56.098438,56.098438,17.24837621,m
Te-OH-Ru,0.009932253661195451,10.90823984,10.90820662,-18.67643948,l
Te-OH-Sc,0.010563131529505979,47.13550196,47.13536828,17.00005959,m
Te-OH-Sm,1.689199398778332e-05,48.29056711,48.29045445,17.24684435,m
Te-OH-Y,6.595975942589745e-05,43.80739722,43.80727708,13.60234997,m
Br-Br-Ba,7.982248038187362e-07,15.22025103,15.22025103,5.53957667,h
Br-Br-Be,3.11428688416621e-05,48.89419972,48.89418124,10.89529734,m
Br-Br-Ca,4.8129214995419785e-06,21.59265089,21.59261215,8.41472865,h
