"Compound","C11","C22","C12","C66"
"OH-OH-Ba",33.007338,33.007068,14.364468,9.321372
"OH-OH-Be",96.025514,96.02553331,46.08030447,24.97261442
"OH-OH-Ca",50.202342,50.202216,16.92288,16.639704
"OH-OH-Cd",45.58023,45.58014,20.981592,12.299292
"OH-OH-Co",48.74715359,48.74713808,28.73356712,10.00679323
"OH-OH-Cu",49.847472,49.847454,26.681112,11.58318
"OH-OH-Fe",73.13497688,73.13496069,33.41359288,19.86067581
"OH-OH-Mg",74.04819245,74.04813332,21.15182597,26.44817584
"OH-OH-Mn",38.1674104,38.1674104,51.84820366,-6.84039662
"OH-OH-Ni",50.71351763,50.71348823,34.8578882,7.92780736
"OH-OH-Pb",31.81851084,31.81830792,14.96893761,8.42472743
"OH-OH-Pd",38.844306,38.844252,42.519528,-1.83762
"OH-OH-Pt",-31.799142,-31.799106,134.079714,-82.939428
"OH-OH-Sr",42.05061779,42.05042452,15.87184425,13.08933405
"OH-OH-Zn",64.967202,64.967202,29.738106,17.614548
"OH-O-Al",119.95443464,119.95434725,66.80240667,26.57598776
"OH-O-Bi",59.548086,59.547978,25.039422,17.254296
"OH-O-Ce",75.3097069,75.30949184,26.0334764,24.63806148
"OH-O-Co",104.9746908,104.97463674,23.60638024,40.68414626
"OH-O-Cr",64.62125553,64.62123797,36.7824651,13.91939521
"OH-O-Fe",122.02689358,122.02684104,41.50707001,40.25990302
"OH-O-Ga",91.4853155,91.4852197,70.64016432,10.42254365
"OH-O-Gd",95.90294053,95.90294053,37.19438042,29.35427381
"OH-O-In",80.822736,80.822592,40.774806,20.023938
"OH-O-Ir",124.49525929,124.49510588,37.26261984,43.61627788
"OH-O-La",77.027724,77.027544,31.663512,22.682052
"OH-O-Lu",100.94465921,100.94451994,34.02416922,33.46021334
"OH-O-Nd",81.81027823,81.81009613,30.18246436,25.81386408
"OH-O-Rh",78.744762,78.744708,17.468676,30.638034
"OH-O-Ru",94.000608,94.00059,31.72059,31.14
"OH-O-Sc",104.15963049,104.1595323,34.73523741,34.7121755
"OH-O-Sm",85.20599277,85.20579285,30.81208226,27.19690527
"OH-O-Y",90.347292,90.347094,30.981708,29.682756
"O-O-Ce",116.597448,116.597394,48.685752,33.95583
"O-O-Ge",156.47697303,156.47690757,45.89596758,55.2904809
"O-O-Hf",168.8278983,168.82788064,37.23728121,65.79529971
"O-O-Ir",152.01408575,152.01406712,49.44044901,51.28681837
"O-O-Mo",96.89315033,96.89315033,75.18588583,10.85363224
"O-O-Os",57.8292357,57.82925415,31.8519883,12.98863292
"O-O-Pd",119.19790573,119.19788649,30.19780593,44.50004027
"O-O-Pt",138.83402529,138.8339882,32.35052407,53.24173206
"O-O-Re",97.71077972,97.71077972,15.53277843,41.08900064
"O-O-Ru",66.302367,66.302367,39.61856543,13.34191037
"O-O-Sn",127.89592603,127.89594379,36.45551574,45.72020514
"O-O-Tc",84.4043362,84.40435429,29.54361235,27.43036192
"O-O-Te",80.23355974,80.23355974,17.36819303,31.43267562
"O-O-Ti",153.50715553,153.50713526,37.15991782,58.17361885
