Compound,Class,Bandgap,Bandgap_nature,Kpoints_edge
OH-OH-Ba,Non-metal,3.6976999999999998,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Be,Non-metal,2.4721,Indirect,"(0.143,-0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Ca,Non-metal,3.6801999999999997,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Cd,Non-metal,2.2906000000000004,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Co,Metal,0.0,NA,NA
OH-OH-Cu,Metal,0.0,NA,NA
OH-OH-Fe,Metal,0.0,NA,NA
OH-OH-Mg,Non-metal,3.3098,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Mn,Metal,0.0,NA,NA
OH-OH-Ni,Non-metal,1.0748,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Pb,Non-metal,1.6892,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-OH-Pd,Metal,0.0,NA,NA
OH-OH-Pt,Metal,0.0,NA,NA
OH-OH-Sr,Non-metal,3.6950000000000003,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
OH-OH-Zn,Non-metal,2.3139000000000003,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
OH-O-Al,Non-metal,2.6778000000000004,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Bi,Non-metal,1.5576,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Ce,Non-metal,3.4255,Indirect,"(0.476,0.048,0.000)-(0.000,0.000,0.000)"
OH-O-Co,Non-metal,0.43090000000000006,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
OH-O-Cr,Metal,0.0,NA,NA
OH-O-Fe,Metal,0.0,NA,NA
OH-O-Ga,Non-metal,2.8420999999999994,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Gd,Non-metal,3.7123999999999997,Indirect,"(0.476,0.048,0.000)-(0.000,0.000,0.000)"
OH-O-In,Non-metal,2.2669,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Ir,Non-metal,1.0497,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-La,Non-metal,3.3716,Indirect,"(0.429,0.143,0.000)-(0.000,0.000,0.000)"
OH-O-Lu,Non-metal,3.5000999999999998,Indirect,"(0.476,0.286,0.000)-(0.000,0.000,0.000)"
OH-O-Nd,Non-metal,3.5692,Indirect,"(0.476,0.048,0.000)-(0.000,0.000,0.000)"
OH-O-Rh,Non-metal,0.7523,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
OH-O-Ru,Metal,0.0,NA,NA
OH-O-Sc,Non-metal,3.7502,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
OH-O-Sm,Non-metal,3.6054000000000004,Indirect,"(0.429,0.095,0.000)-(0.000,0.000,0.000)"
OH-O-Y,Non-metal,3.4311999999999996,Indirect,"(0.238,0.238,0.000)-(0.000,0.000,0.000)"
O-O-Ce,Metal,0.0,NA,NA
O-O-Ge,Non-metal,3.5671,Indirect,"(0.238,0.190,0.000)-(0.000,0.000,0.000)"
O-O-Hf,Non-metal,5.012499999999999,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
O-O-Ir,Metal,0.0,NA,NA
O-O-Mo,Metal,0.0,NA,NA
O-O-Os,Metal,0.0,NA,NA
O-O-Pd,Non-metal,1.2621000000000002,Indirect,"(0.048,-0.000,0.000)-(0.333,-0.000,0.000)"
O-O-Pt,Non-metal,1.5550000000000002,Indirect,"(0.095,0.048,0.000)-(0.333,0.048,0.000)"
O-O-Re,Metal,0.0,NA,NA
O-O-Ru,Metal,0.0,NA,NA
O-O-Sn,Non-metal,2.5978999999999997,Indirect,"(0.238,0.238,0.000)-(0.000,0.000,0.000)"
O-O-Tc,Metal,0.0,NA,NA
O-O-Te,Metal,0.0,NA,NA
O-O-Ti,Non-metal,2.5383999999999998,Indirect,"(0.143,0.143,0.000)-(0.000,0.000,0.000)"
O-O-W,Metal,0.0,NA,NA
O-O-Zr,Non-metal,4.257899999999999,Indirect,"(0.190,0.143,0.000)-(0.333,0.333,0.000)"
NH-OH-Al,Non-metal,1.3872,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Bi,Non-metal,0.7082999999999999,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Ce,Non-metal,1.6770999999999998,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
NH-OH-Co,Non-metal,0.8725,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Cr,Metal,0.0,NA,NA
NH-OH-Fe,Metal,0.0,NA,NA
NH-OH-Ga,Non-metal,1.8877,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Gd,Non-metal,2.2701,Indirect,"(0.476,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-In,Non-metal,1.5358,Indirect,"(0.000,0.000,0.000)-(0.000,0.000,0.000)"
NH-OH-Ir,Non-metal,0.7681,Indirect,"(0.333,0.333,0.000)-(0.000,0.000,0.000)"
