Compound,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,max ionic char,avg ionic char,minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference,avg anion electron affinity,M_oxid_state,Compound_id,Thermo_stability_level
OH-OH-Ba,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,56,55,14.8,16.48,1,9,92,83,73.4,25.76,87,1.00794,137.327,136.31906,34.268336,41.2234656,1.00794,14.01,1000,985.99,227.524,308.9904,14.01,1,16,15,7.2,7.04,1,1,6,5,2.4,1.44,1,31,215,184,81.8,53.28,31,0.89,3.44,2.55,2.434,0.8048,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.2,2.24,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,6.615,63.59,56.975,19.006,17.8336,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0,0,0,0,0,12,229,217,128.2,92.96,12,1.6,1.6,0,0,0.803211356,0.143227972,1.24,2.55,1.31,1.676666667,0.926309883,-282000,2,0_BaH2O2,H
OH-OH-Be,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,8,7,4.4,2.88,1,67,92,25,85,7.2,87,1.00794,15.9994,14.99146,8.6053724,6.07794592,1.00794,14.01,1560,1545.99,339.524,488.1904,14.01,1,16,15,7.2,7.04,1,1,2,1,1.6,0.48,1,31,96,65,58,21.6,31,1.57,3.44,1.87,2.57,0.696,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.2,2.24,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,6.615,9.105,2.49,7.866,1.0008,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0,0,0,0,0,12,194,182,121.2,87.36,12,1.6,1.6,0,0,0.582814787,0.105244623,1.24,1.87,0.63,1.45,0.445477272,-282000,2,1_BeH2O2,M
OH-OH-Ca,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,20,19,7.6,5.28,1,7,92,85,73,26.4,87,1.00794,40.078,39.07006,14.818536,11.0484768,1.00794,14.01,1115,1100.99,250.524,345.7904,14.01,1,16,15,7.2,7.04,1,1,4,3,2,0.8,1,31,176,145,74,40.8,31,1,3.44,2.44,2.456,0.7872,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.2,2.24,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,6.615,37.77,31.155,13.842,9.5712,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0,0,0,0,0,12,225,213,127.4,92.32,12,1.6,1.6,0,0,0.77426646,0.137189766,1.24,2.44,1.2,1.64,0.848528137,-282000,2,2_CaH2O2,H
OH-OH-Cd,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,48,47,13.2,13.92,1,70,92,22,85.6,6.24,87,1.00794,112.411,111.40306,29.285136,33.2503456,1.00794,14.01,594.22,580.21,146.368,179.1408,14.01,1,16,15,9.2,6.56,1,1,5,4,2.2,1.12,1,31,144,113,67.6,30.56,31,1.69,3.44,1.75,2.594,0.6768,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,10,10,2,3.2,0,0,0,0,0,0,0,1,12,11,5.2,3.36,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,6.615,19.495,12.88,10.187,3.7232,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0,0,0,0,0,12,194,182,121.2,87.36,12,1.6,1.6,2,0,0.534956812,0.098895577,1.24,1.75,0.51,1.41,0.360624458,-282000,2,3_CdH2O2,H
OH-OH-Co,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,27,26,9,7.2,1,58,92,34,83.2,10.08,87,1.00794,58.933195,57.925255,18.589575,16.137448,1.00794,14.01,1768,1753.99,381.124,554.7504,14.01,1,16,15,8.6,6.08,1,1,4,3,2,0.8,1,31,126,95,64,26.4,31,1.88,3.44,1.56,2.632,0.6464,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,7,7,1.4,2.24,0,0,0,0,0,0,0,1,9,8,4.6,2.88,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,3,3,0.6,0.96,0,0,0,0,0,0,0,1,3,2,1.8,0.64,1,6.615,10.245,3.63,8.337,1.3776,6.615,0,7.853,7.853,3.1412,3.76944,0,0,1.5484712,1.5484712,0.30969424,0.495510784,0,12,194,182,121.2,87.36,12,1.6,1.6,1.4,0,0.455779074,0.089546889,1.24,1.56,0.32,1.346666667,0.22627417,-282000,2,4_CoH2O2,M
OH-OH-Cu,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,29,28,9.4,7.84,1,64,92,28,84.4,8.16,87,1.00794,63.546,62.53806,19.512136,17.6135456,1.00794,14.01,1357.77,1343.76,299.078,423.4768,14.01,1,16,15,9,6.4,1,1,4,3,2,0.8,1,31,132,101,65.2,27.36,31,1.9,3.44,1.54,2.636,0.6432,2.2,1,2,1,1.4,0.48,1,0,4,4,1.6,1.92,0,0,10,10,2,3.2,0,0,0,0,0,0,0,1,11,10,5,3.2,1,0,1,1,0.6,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.4,0.48,1,6.615,11.07,4.455,8.502,1.5096,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0,0,0,0,0,12,225,213,127.4,92.32,12,1.4,1.6,2,0,0.447277936,0.088624691,1.24,1.54,0.3,1.34,0.212132034,-282000,2,5_CuH2O2,H
OH-OH-Fe,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,26,25,8.8,6.88,1,55,92,37,82.6,11.04,87,1.00794,55.845,54.83706,17.971936,15.1492256,1.00794,14.01,1811,1796.99,389.724,568.5104,14.01,1,16,15,8.4,6.08,1,1,4,3,2,0.8,1,31,132,101,65.2,27.36,31,1.83,3.44,1.61,2.622,0.6544,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,6,6,1.2,1.92,0,0,0,0,0,0,0,1,8,7,4.4,2.72,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,4,4,0.8,1.28,0,0,0,0,0,0,0,1,4,3,2,0.8,1,6.615,10.73,4.115,8.434,1.4552,6.615,0,7.853,7.853,3.1412,3.76944,0,0,2.1106628,2.1106628,0.42213256,0.675412096,0,12,229,217,128.2,92.96,12,1.6,1.6,1.2,0,0.476922164,0.091908004,1.24,1.61,0.37,1.363333333,0.261629509,-282000,2,6_FeH2O2,M
OH-OH-Mg,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,12,11,6,4,1,68,92,24,85.2,6.88,87,1.00794,24.305,23.29706,11.663936,8.5247968,1.00794,14.01,923,908.99,212.124,284.3504,14.01,1,16,15,7.2,7.04,1,1,3,2,1.8,0.64,1,31,141,110,67,29.6,31,1.31,3.44,2.13,2.518,0.7376,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3.2,2.24,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,6.615,22.89,16.275,10.866,4.8096,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0,0,0,0,0,12,194,182,121.2,87.36,12,1.6,1.6,0,0,0.67832868,0.119700902,1.24,2.13,0.89,1.536666667,0.629325035,-282000,2,7_MgH2O2,H
OH-OH-Mn,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,25,24,8.6,6.56,1,52,92,40,82,12,87,1.00794,54.938045,53.930105,17.790545,14.859,1.00794,14.01,1519,1504.99,331.324,475.0704,14.01,1,16,15,8.2,6.24,1,1,4,3,2,0.8,1,31,139,108,66.6,28.96,31,1.55,3.44,1.89,2.566,0.6992,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,5,5,1,1.6,0,0,0,0,0,0,0,1,7,6,4.2,2.56,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,5,5,1,1.6,0,0,0,0,0,0,0,1,5,4,2.2,1.12,1,6.615,10.48758621,3.872586207,8.385517241,1.416413793,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0.000310121,0.000310121,0.000062,0.0000992,0,12,217,205,125.8,91.04,12,1.6,1.6,1,0,0.590584604,0.106328364,1.24,1.89,0.65,1.456666667,0.459619408,-282000,2,8_MnH2O2,M
OH-OH-Ni,3,0.6,0.514256318,0.460906324,0.441881842,0.428730313,1,28,27,9.2,7.52,1,61,92,31,83.8,9.12,87,1.00794,58.6934,57.68546,18.541616,16.0607136,1.00794,14.01,1728,1713.99,373.124,541.9504,14.01,1,16,15,8.8,6.24,1,1,4,3,2,0.8,1,31,124,93,63.6,26.08,31,1.91,3.44,1.53,2.638,0.6416,2.2,1,2,1,1.6,0.48,1,0,4,4,1.6,1.92,0,0,8,8,1.6,2.56,0,0,0,0,0,0,0,1,10,9,4.8,3.04,1,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,2,2,0.4,0.64,0,0,0,0,0,0,0,1,2,1,1.6,0.48,1,6.615,10.32,3.705,8.352,1.3896,6.615,0,7.853,7.853,3.1412,3.76944,0,0,0.5953947,0.5953947,0.11907894,0.190526304,0,12,225,213,127.4,92.32,12,1.6,1.6,1.6,0,0.443019473,0.088168554,1.24,1.53,0.29,1.336666667,0.205060967,-282000,2,9_NiH2O2,H
