Compound,bandgap,del_phi,chi_H2,chi_O2,eta_STH
S-Br-Bi,2.9693,-0.01,0.1439,1.6154,2.12652626696455
S-Cl-Bi,3.1305,0.27,1.4091,0.4914,1.19630284378851
Se-Br-Bi,2.4586,0.32,0.2944,0.9342,8.06586347910215
Se-Cl-Bi,2.5794,0.62,0.0392,1.3102,4.33866718192875
Se-I-Bi,2.4314,-0.16,0.4188,0.7826,8.61150770599008
Se-OH-Ir,2.9531,-2.58,3.9778,0.3253,1.15440459476577
Se-Se-Hf,1.822,0,0.1052,0.4868,17.1401795345351
Se-Se-Pt,2.2167,0,0.4663,0.5204,11.0883910636367
Se-Se-Zr,1.8488,0,0.1177,0.5011,17.1401795345351
Se-Te-Pt,1.8242,0.77,0.4022,0.192,10.8369547785525
S-NCO-Rh,3.0843,1.2,1.2703,0.584,1.63527492450406
S-OH-Rh,2.8809,-3.3,4.3014,0.6495,2.88042221859025
S-Se-Pt,2.4967,0.69,0.2892,0.9775,7.38680100609883
S-Se-Zr,2.2927,-0.05,0.5981,0.4646,8.74845130123108
S-S-Hf,2.9199,0,0.0484,1.6415,1.84963630843296
S-S-Pt,2.8372,0,0.2037,1.4035,3.47541977579943
S-S-Zr,2.8907,0,0.0546,1.6061,2.03248466103453
Te-Br-Bi,2.4309,0.78,0.569,0.6319,8.25325376917465
Te-Br-Sc,2.8874,-0.66,1.3171,0.3403,1.45118357319097
Te-Cl-Ir,2.8978,0.93,1.6463,0.0215,0.570189521466262
Te-I-Bi,2.232,0.36,0.879,0.123,4.65959171675063
,,,,,
1,2.12652626696455,,,,
2,1.19630284378851,,,,
3,8.06586347910215,,,,
4,4.33866718192875,,,,
5,8.61150770599008,,,,
6,1.15440459476577,,,,
7,17.1401795345351,,,,
8,11.0883910636367,,,,
9,17.1401795345351,,,,
10,10.8369547785525,,,,
11,1.63527492450406,,,,
12,2.88042221859025,,,,
13,7.38680100609883,,,,
14,8.74845130123108,,,,
15,1.84963630843296,,,,
16,3.47541977579943,,,,
17,2.03248466103453,,,,
18,8.25325376917465,,,,
19,1.45118357319097,,,,
20,0.570189521466262,,,,
21,4.65959171675063,,,,
