Compound,Elements,Element_numbers,H_f,E_total,#_atoms
OH-OH-Ba,"['Ba', 'H', 'O']","[1, 2, 2]",-1.865620294,-68.08629047,5
OH-OH-Be,"['Be', 'H', 'O']","[1, 2, 2]",-1.5973094359999997,-31.56063618,5
OH-OH-Ca,"['Ca', 'H', 'O']","[1, 2, 2]",-2.0115435059999998,-38.89440653,5
OH-OH-Cd,"['Cd', 'H', 'O']","[1, 2, 2]",-1.1146562220000007,-55.19097011,5
OH-OH-Co,"['Co', 'H', 'O']","[1, 2, 2]",-0.9935189620000002,-41.39318381,5
OH-OH-Cu,"['Cu', 'H', 'O']","[1, 2, 2]",-0.8033177139999992,-38.39617757,5
OH-OH-Fe,"['Fe', 'H', 'O']","[1, 2, 2]",-1.0329796920000007,-42.48838746,5
OH-OH-Mg,"['Mg', 'H', 'O']","[1, 2, 2]",-1.8766760440000005,-33.58446922,5
OH-OH-Mn,"['Mn', 'H', 'O']","[1, 2, 2]",-1.0832612140000009,-42.72209507,5
OH-OH-Ni,"['Ni', 'H', 'O']","[1, 2, 2]",-1.1414032120000002,-41.10140506,5
OH-OH-Pb,"['H', 'Pb', 'O']","[2, 1, 2]",-0.9918163160000006,-99.90857058,5
OH-OH-Pd,"['H', 'Pd', 'O']","[2, 1, 2]",-0.5381304520000014,-54.69694126,5
OH-OH-Pt,"['H', 'Pt', 'O']","[2, 1, 2]",-0.3043838319999992,-90.94920816,5
OH-OH-Sr,"['Sr', 'H', 'O']","[1, 2, 2]",-1.9571514120000004,-51.26854606,5
OH-OH-Zn,"['Zn', 'H', 'O']","[1, 2, 2]",-1.2301703279999998,-38.84054064,5
OH-O-Al,"['Al', 'H', 'O']","[1, 1, 2]",-2.3588469925,-32.94442697,4
OH-O-Bi,"['Bi', 'H', 'O']","[1, 1, 2]",-0.9496404925000022,-98.05920097,4
OH-O-Ce,"['Ce', 'H', 'O']","[1, 1, 2]",-2.5827947674999994,-70.70931807,4
OH-O-Co,"['Co', 'H', 'O']","[1, 1, 2]",-1.1415780850000008,-37.53815134,4
OH-O-Cr,"['Cr', 'H', 'O']","[1, 1, 2]",-1.8277956624999998,-41.46062165,4
OH-O-Fe,"['Fe', 'H', 'O']","[1, 1, 2]",-1.2100495700000007,-38.70993728,4
OH-O-Ga,"['Ga', 'H', 'O']","[1, 1, 2]",-1.5547389875000004,-38.31919495,4
OH-O-Gd,"['Gd', 'H', 'O']","[1, 1, 2]",-2.5773029925000017,-84.93845097,4
OH-O-In,"['In', 'H', 'O']","[1, 1, 2]",-1.4044488800000003,-54.67803452,4
OH-O-Ir,"['H', 'Ir', 'O']","[1, 1, 2]",-0.5475322300000016,-89.16556792,4
OH-O-La,"['La', 'H', 'O']","[1, 1, 2]",-2.6529121400000015,-69.50968756,4
OH-O-Lu,"['Lu', 'H', 'O']","[1, 1, 2]",-2.7897368700000023,-82.27658648,4
OH-O-Nd,"['Nd', 'H', 'O']","[1, 1, 2]",-2.593610632500001,-69.70678153,4
OH-O-Rh,"['H', 'Rh', 'O']","[1, 1, 2]",-0.8422369424999996,-52.86488677,4
OH-O-Ru,"['H', 'Ru', 'O']","[1, 1, 2]",-0.8008518850000002,-53.77224654,4
OH-O-Sc,"['Sc', 'H', 'O']","[1, 1, 2]",-2.7142150974999986,-40.83039939,4
OH-O-Sm,"['Sm', 'H', 'O']","[1, 1, 2]",-2.6327632899999998,-70.74379216,4
OH-O-Y,"['Y', 'H', 'O']","[1, 1, 2]",-2.734491985,-54.52650694,4
O-O-Ce,"['Ce', 'O']","[1, 2]",-3.486907093333336,-67.38511028,3
O-O-Ge,"['Ge', 'O']","[1, 2]",-1.6736733599999998,-36.38110908,3
O-O-Hf,"['Hf', 'O']","[1, 2]",-3.613547533333332,-85.8607316,3
O-O-Ir,"['Ir', 'O']","[1, 2]",-0.6170653766666684,-85.37288513,3
O-O-Mo,"['Mo', 'O']","[1, 2]",-1.6906859000000007,-52.2530467,3
O-O-Os,"['Os', 'O']","[1, 2]",-0.5607764899999997,-85.75771847,3
O-O-Pd,"['Pd', 'O']","[1, 2]",-0.5358927966666679,-46.70646739,3
O-O-Pt,"['Pt', 'O']","[1, 2]",-0.6775186866666635,-84.55234506,3
O-O-Re,"['Re', 'O']","[1, 2]",-1.0341933533333314,-86.43436906,3
