Compound,Elements,Element_numbers,H_f,E_total,#_atoms
OH-OH-Ba,"['Ba', 'H', 'O']","[1, 2, 2]",-1.865620294,-68.08629047,5
OH-OH-Be,"['Be', 'H', 'O']","[1, 2, 2]",-1.597309436,-31.56063618,5
OH-OH-Ca,"['Ca', 'H', 'O']","[1, 2, 2]",-2.011543506,-38.89440653,5
OH-OH-Cd,"['Cd', 'H', 'O']","[1, 2, 2]",-1.114656222,-55.19097011,5
OH-OH-Co,"['Co', 'H', 'O']","[1, 2, 2]",-0.993518962,-41.39318381,5
OH-OH-Cu,"['Cu', 'H', 'O']","[1, 2, 2]",-0.803317714,-38.39617757,5
OH-OH-Fe,"['Fe', 'H', 'O']","[1, 2, 2]",-1.032979692,-42.48838746,5
OH-OH-Mg,"['Mg', 'H', 'O']","[1, 2, 2]",-1.876676044,-33.58446922,5
OH-OH-Mn,"['Mn', 'H', 'O']","[1, 2, 2]",-1.083261214,-42.72209507,5
OH-OH-Ni,"['Ni', 'H', 'O']","[1, 2, 2]",-1.141403212,-41.10140506,5
OH-OH-Pb,"['H', 'Pb', 'O']","[2, 1, 2]",-0.991816316,-99.90857058,5
OH-OH-Pd,"['H', 'Pd', 'O']","[2, 1, 2]",-0.538130452,-54.69694126,5
OH-OH-Pt,"['H', 'Pt', 'O']","[2, 1, 2]",-0.304383832,-90.94920816,5
OH-OH-Sr,"['Sr', 'H', 'O']","[1, 2, 2]",-1.957151412,-51.26854606,5
OH-OH-Zn,"['Zn', 'H', 'O']","[1, 2, 2]",-1.230170328,-38.84054064,5
OH-O-Al,"['Al', 'H', 'O']","[1, 1, 2]",-2.358846993,-32.94442697,4
OH-O-Bi,"['Bi', 'H', 'O']","[1, 1, 2]",-0.949640493,-98.05920097,4
OH-O-Ce,"['Ce', 'H', 'O']","[1, 1, 2]",-2.582794767,-70.70931807,4
OH-O-Co,"['Co', 'H', 'O']","[1, 1, 2]",-1.141578085,-37.53815134,4
OH-O-Cr,"['Cr', 'H', 'O']","[1, 1, 2]",-1.827795662,-41.46062165,4
