Compound,Elements,Element_numbers,H_f,E_total,#_atoms
Al,['Al'],[2],0.0,-15.48737206,2
Al2CS,"['Al', 'C', 'S']","[2, 1, 1]",-0.6803779067499995,-37.92005794,4
Al2O3,"['Al', 'O']","[4, 6]",-3.422308788000001,-102.13265488,10
Al2P3H3O9,"['Al', 'P', 'H', 'O']","[4, 6, 6, 18]",-2.3169310944117654,-303.72671105,34
Al2S3,"['Al', 'S']","[12, 18]",-1.2553456828666678,-303.71588612,30
Al2S3O12,"['Al', 'S', 'O']","[4, 6, 24]",-2.1307655347647065,-308.87026806,34
Al2Se3,"['Al', 'Se']","[4, 6]",-0.9857607849999994,-161.22791099,10
Al2Te3,"['Al', 'Te']","[16, 24]",-0.60872895025,-1037.76995801,40
Al2Te5,"['Al', 'Te']","[2, 5]",-0.49725376428571216,-204.28517635,7
Al3Te3I,"['Al', 'Te', 'I']","[12, 12, 4]",-0.6063645678571439,-701.3562179,28
Al4C3,"['Al', 'C']","[4, 3]",-0.23186003000000102,-62.87607321,7
Al4CO4,"['Al', 'C', 'O']","[8, 2, 8]",-2.591843506111112,-178.03464111,18
AlBr3,"['Al', 'Br']","[4, 12]",-1.3771459293750006,-282.82621687,16
AlCl3,"['Al', 'Cl']","[2, 6]",-1.7908867700000002,-77.02628316,8
AlClO,"['Al', 'Cl', 'O']","[2, 2, 2]",-2.696234403333334,-59.71365842,6
AlF3,"['Al', 'F']","[10, 30]",-3.8655386697499994,-336.58738479,40
AlH3,"['Al', 'H']","[4, 12]",-0.07307768187500052,-73.58904291,16
AlH4NF4,"['Al', 'H', 'N', 'F']","[4, 16, 4, 16]",-2.158731446,-265.46746544,40
AlHO2,"['Al', 'H', 'O']","[4, 4, 8]",-2.5877925975,-135.44083756,16
AlI3,"['Al', 'I']","[4, 12]",-0.7277264493749982,-482.69685319,16
AlI3O9,"['Al', 'I', 'O']","[2, 6, 18]",-0.9892807919230768,-372.05221659,26
AlN,"['Al', 'N']","[2, 2]",-1.708810402500001,-40.88998861,4
AlP,"['Al', 'P']","[1, 1]",-0.7392257749999995,-19.63039369,2
AlP3O9,"['Al', 'P', 'O']","[4, 12, 36]",-2.6418272125,-514.85732273,52
AlPI8,"['Al', 'P', 'I']","[4, 4, 32]",-0.360671595249994,-1260.57711237,40
AlPO4,"['Al', 'P', 'O']","[2, 2, 8]",-2.9422581066666673,-120.85733756,12
AlPS4,"['Al', 'P', 'S']","[2, 2, 8]",-0.6949682563333349,-121.59066586,12
AlSCl7,"['Al', 'S', 'Cl']","[2, 2, 14]",-0.9981717852222229,-162.85212376,18
AlSe2Cl4,"['Al', 'Se', 'Cl']","[8, 16, 32]",-1.1432529891071417,-698.82265043,56
AlSeBr7,"['Al', 'Se', 'Br']","[2, 2, 14]",-0.8253181477777756,-338.59489004,18
AlTe2Cl4,"['Al', 'Te', 'Cl']","[8, 16, 32]",-1.2303408191071432,-975.65929387,56
AlTeCl7,"['Al', 'Te', 'Cl']","[4, 4, 28]",-1.2414721661111119,-444.24307998,36
AlTeI7,"['Al', 'Te', 'I']","[2, 2, 14]",-0.4372511472222224,-610.90955565,18
Ba,['Ba'],[2],0.0,-79.07820785,2
Ba2Br2O,"['Ba', 'Br', 'O']","[4, 4, 2]",-2.776139858000002,-274.83508158,10
Ba2BrN,"['Ba', 'Br', 'N']","[2, 1, 1]",-1.4776252399999983,-113.42379796,4
