Compound,Elements,Element_numbers,H_f,E_total,#_atoms
Al,['Al'],[2],0.0,-15.48737206,2
Al2CS,"['Al', 'C', 'S']","[2, 1, 1]",-0.6803779067,-37.92005794,4
Al2O3,"['Al', 'O']","[4, 6]",-3.422308788,-102.13265488,10
Al2P3H3O9,"['Al', 'P', 'H', 'O']","[4, 6, 6, 18]",-2.3169310944,-303.72671105,34
Al2S3,"['Al', 'S']","[12, 18]",-1.2553456829,-303.71588612,30
Al2S3O12,"['Al', 'S', 'O']","[4, 6, 24]",-2.1307655348,-308.87026806,34
Al2Se3,"['Al', 'Se']","[4, 6]",-0.9857607850000001,-161.22791099,10
Al2Te3,"['Al', 'Te']","[16, 24]",-0.6087289502000001,-1037.76995801,40
Al2Te5,"['Al', 'Te']","[2, 5]",-0.4972537643,-204.28517635,7
Al3Te3I,"['Al', 'Te', 'I']","[12, 12, 4]",-0.6063645679,-701.3562179,28
Al4C3,"['Al', 'C']","[4, 3]",-0.23186003,-62.87607321,7
Al4CO4,"['Al', 'C', 'O']","[8, 2, 8]",-2.5918435061,-178.03464111,18
AlBr3,"['Al', 'Br']","[4, 12]",-1.3771459294000001,-282.82621687,16
AlCl3,"['Al', 'Cl']","[2, 6]",-1.79088677,-77.02628316,8
AlClO,"['Al', 'Cl', 'O']","[2, 2, 2]",-2.6962344033,-59.71365842,6
AlF3,"['Al', 'F']","[10, 30]",-3.8655386697000003,-336.58738479,40
AlH3,"['Al', 'H']","[4, 12]",-0.0730776819,-73.58904291,16
AlH4NF4,"['Al', 'H', 'N', 'F']","[4, 16, 4, 16]",-2.158731446,-265.46746544,40
AlHO2,"['Al', 'H', 'O']","[4, 4, 8]",-2.5877925975,-135.44083756,16
AlI3,"['Al', 'I']","[4, 12]",-0.7277264494,-482.69685319,16
AlI3O9,"['Al', 'I', 'O']","[2, 6, 18]",-0.9892807919000001,-372.05221659,26
AlN,"['Al', 'N']","[2, 2]",-1.7088104025000002,-40.88998861,4
AlP,"['Al', 'P']","[1, 1]",-0.7392257750000001,-19.63039369,2
AlP3O9,"['Al', 'P', 'O']","[4, 12, 36]",-2.6418272125,-514.85732273,52
AlPI8,"['Al', 'P', 'I']","[4, 4, 32]",-0.36067159520000003,-1260.57711237,40
AlPO4,"['Al', 'P', 'O']","[2, 2, 8]",-2.9422581066999998,-120.85733756,12
AlPS4,"['Al', 'P', 'S']","[2, 2, 8]",-0.6949682563,-121.59066586,12
AlSCl7,"['Al', 'S', 'Cl']","[2, 2, 14]",-0.9981717852,-162.85212376,18
AlSe2Cl4,"['Al', 'Se', 'Cl']","[8, 16, 32]",-1.1432529891,-698.82265043,56
AlSeBr7,"['Al', 'Se', 'Br']","[2, 2, 14]",-0.8253181478,-338.59489004,18
AlTe2Cl4,"['Al', 'Te', 'Cl']","[8, 16, 32]",-1.2303408191,-975.65929387,56
AlTeCl7,"['Al', 'Te', 'Cl']","[4, 4, 28]",-1.2414721660999999,-444.24307998,36
AlTeI7,"['Al', 'Te', 'I']","[2, 2, 14]",-0.4372511472,-610.90955565,18
Ba,['Ba'],[2],0.0,-79.07820785,2
Ba2Br2O,"['Ba', 'Br', 'O']","[4, 4, 2]",-2.776139858,-274.83508158,10
Ba2BrN,"['Ba', 'Br', 'N']","[2, 1, 1]",-1.47762524,-113.42379796,4
Ba2H3Br,"['Ba', 'H', 'Br']","[2, 3, 1]",-1.168726645,-115.60323337,6
Ba2H3Cl,"['Ba', 'H', 'Cl']","[2, 3, 1]",-1.2255669783,-104.66148337,6
Ba2H3I,"['Ba', 'H', 'I']","[2, 3, 1]",-1.0268531817,-132.27377159,6
Ba2HN,"['Ba', 'H', 'N']","[2, 1, 1]",-0.65166659,-94.42228986,4
Ba2I2O,"['Ba', 'I', 'O']","[4, 4, 2]",-2.446489905,-341.62569805,10
Ba2N,"['Ba', 'N']","[2, 1]",-0.57602526,-90.08994928,3
Ba2NCl,"['Ba', 'N', 'Cl']","[2, 1, 1]",-1.5768115725,-102.53775129,4
Ba3N,"['Ba', 'N']","[6, 2]",-0.4317632263,-259.25605281,8
Ba4Br6O,"['Ba', 'Br', 'O']","[8, 12, 2]",-2.7351244577,-618.61420907,22
Ba4Cl6O,"['Ba', 'Cl', 'O']","[8, 12, 2]",-2.9555009141,-488.06898711,22
Ba4I6O,"['Ba', 'I', 'O']","[8, 12, 2]",-2.2480306055,-818.15949232,22
BaBr2,"['Ba', 'Br']","[4, 8]",-2.6353077383,-342.99148086,12
BaBr2O6,"['Ba', 'Br', 'O']","[2, 4, 12]",-0.8592719944,-245.0203239,18
BaBrF,"['Ba', 'Br', 'F']","[2, 2, 2]",-3.4665927667,-145.1491928,6
BaCl2,"['Ba', 'Cl']","[1, 2]",-2.91864901,-64.03231003,3
BaCl2O6,"['Ba', 'Cl', 'O']","[2, 4, 12]",-0.9385803561,-201.31670641,18
BaClF,"['Ba', 'Cl', 'F']","[2, 2, 2]",-3.6042490633,-123.40954658,6
BaCN2,"['Ba', 'C', 'N']","[4, 4, 8]",-0.9329165562,-287.7234569,16
BaCO3,"['Ba', 'C', 'O']","[4, 4, 12]",-2.4742100855,-321.88113971,20
BaF2,"['Ba', 'F']","[1, 2]",-4.1387717033,-58.92400431,3
BaH2,"['Ba', 'H']","[4, 8]",-0.6190486592000001,-193.21498391,12
BaH2O2,"['Ba', 'H', 'O']","[8, 16, 16]",-1.9602902442999999,-548.47712177,40
BaH2S2O8,"['Ba', 'H', 'S', 'O']","[4, 8, 8, 32]",-1.8509250233999999,-555.96708772,52
BaH4I2O2,"['Ba', 'H', 'I', 'O']","[2, 8, 4, 4]",-1.4252069122,-303.67791242,18
BaH4O3,"['Ba', 'H', 'O']","[2, 8, 6]",-1.6458200756,-169.97608821,16
BaH5BrO3,"['Ba', 'H', 'Br', 'O']","[2, 10, 2, 6]",-1.575633507,-220.36598414,20
BaH5ClO3,"['Ba', 'H', 'Cl', 'O']","[2, 10, 2, 6]",-1.6136925675,-198.56158135,20
BaH6Cl2O11,"['Ba', 'H', 'Cl', 'O']","[2, 12, 4, 22]",-0.9162072025,-324.0734931,40
BaH6F8,"['Ba', 'H', 'F']","[4, 24, 32]",-2.1947273187,-484.22746632,60
BaH8O5,"['Ba', 'H', 'O']","[4, 32, 20]",-1.4187055634,-471.23980155,56
BaHBr,"['Ba', 'H', 'Br']","[2, 2, 2]",-1.7070810217,-134.53103313,6
BaHBrO,"['Ba', 'H', 'Br', 'O']","[4, 4, 4, 4]",-2.2560686213,-309.29736994,16
BaHCl,"['Ba', 'H', 'Cl']","[2, 2, 2]",-1.8355069717,-112.73600483,6
BaHClO,"['Ba', 'H', 'Cl', 'O']","[4, 4, 4, 4]",-2.3417302406,-265.53678785,16
BaHI,"['Ba', 'H', 'I']","[2, 2, 2]",-1.4091262717,-167.78686263,6
BaHIO,"['Ba', 'H', 'I', 'O']","[4, 4, 4, 4]",-2.0574418025,-376.20645684,16
BaI2,"['Ba', 'I']","[4, 8]",-2.0335494075,-475.94461289,12
BaI2O6,"['Ba', 'I', 'O']","[2, 4, 12]",-1.2377310761,-321.91970337,18
BaIF,"['Ba', 'I', 'F']","[2, 2, 2]",-3.1533677167,-178.3134005,6
BaN2,"['Ba', 'N']","[2, 4]",-0.6616347433,-120.18270246,6
BaN2O6,"['Ba', 'N', 'O']","[4, 8, 24]",-1.1710360061,-422.32215222,36
BaN3Cl,"['Ba', 'N', 'Cl']","[2, 6, 2]",-1.086233585,-161.37983985,10
BaN6,"['Ba', 'N']","[2, 12]",-0.2594865986,-194.11509438,14
BaO,"['Ba', 'O']","[1, 1]",-2.76161885,-51.2181322,2
BaO2,"['Ba', 'O']","[1, 2]",-2.11661441,-58.20053223,3
BaS,"['Ba', 'S']","[1, 1]",-2.3781477735,-53.91379086,2
BaS2,"['Ba', 'S']","[2, 4]",-1.6391919297,-127.38693283,6
BaS3,"['Ba', 'S']","[2, 6]",-1.2632495215000001,-146.89456805,8
BaSO4,"['Ba', 'S', 'O']","[4, 4, 16]",-2.5270717166,-355.77241445,24
Be,['Be'],[2],0.0,-8.70996027,2
Be2C,"['Be', 'C']","[2, 1]",-0.32359218,-19.77352754,3
Be3N2,"['Be', 'N']","[24, 16]",-1.2953137195,-304.87132478,40
BeBr2,"['Be', 'Br']","[2, 4]",-1.2856182533,-93.02940352,6
BeCl2,"['Be', 'Cl']","[2, 4]",-1.66075884,-50.14907904,6
BeCN2,"['Be', 'C', 'N']","[4, 4, 8]",-0.5524943731,-140.90030197,16
BeF2,"['Be', 'F']","[3, 6]",-3.48634024,-65.34782976,9
BeH2,"['Be', 'H']","[6, 12]",-0.1073614039,-69.50750527,18
BeH8N2O10,"['Be', 'H', 'N', 'O']","[2, 16, 4, 20]",-1.0119335019,-266.72179108,42
BeH8SO8,"['Be', 'H', 'S', 'O']","[2, 16, 2, 16]",-1.4391081312,-233.50739535,36
BeI2,"['Be', 'I']","[2, 4]",-0.6409258217,-159.24836493,6
BeO,"['Be', 'O']","[2, 2]",-3.079815045,-33.34084918,4
BeS,"['Be', 'S']","[1, 1]",-1.2571144585,-16.48762423,2
BeSO4,"['Be', 'S', 'O']","[1, 1, 4]",-2.0831174745,-51.09527816,6
Bi,['Bi'],[6],0.0,-470.97159395,6
Bi2I4O13,"['Bi', 'I', 'O']","[8, 16, 52]",-0.6979154561,-1587.87652866,76
Bi2O3,"['Bi', 'O']","[8, 12]",-1.240847446,-726.64888292,20
Bi2P4O13,"['Bi', 'P', 'O']","[4, 8, 26]",-2.1980788184,-640.82478922,38
Bi2S3,"['Bi', 'S']","[8, 12]",-0.3261724867,-749.90659349,20
Bi2Se3,"['Bi', 'Se']","[2, 3]",-0.330720546,-218.8419543,5
Bi2Se3O9,"['Bi', 'Se', 'O']","[8, 12, 36]",-1.0929075745,-1151.56483245,56
Bi2Se4Cl7,"['Bi', 'Se', 'Cl']","[8, 16, 28]",-0.7159037765,-1206.56575342,52
Bi2SeO5,"['Bi', 'Se', 'O']","[8, 4, 20]",-1.2057702813,-869.92660776,32
