Compound,Elements,Element_numbers,H_f,E_total,#_atoms
NH-OCN-Gd,"['Gd', 'H', 'C', 'N', 'O']","[1, 1, 1, 2, 1]",-0.9007115049999991,-89.55389803,6
PH-SCN-Gd,"['Gd', 'P', 'H', 'C', 'S', 'N']","[1, 1, 1, 1, 1, 1]",-0.28393874449999856,-90.44043092,6
S-Br-Gd,"['Gd', 'S', 'Br']","[1, 1, 1]",-2.246083825666664,-81.38805679,3
S-Cl-Gd,"['Gd', 'S', 'Cl']","[1, 1, 1]",-2.3765950890000007,-70.49679858,3
S-CN-Gd,"['Gd', 'C', 'S', 'N']","[1, 1, 1, 1]",-0.8031639742499976,-78.08746221,4
Se-Br-Gd,"['Gd', 'Se', 'Br']","[1, 1, 1]",-2.1120092700000064,-91.433355,3
Se-Cl-Gd,"['Gd', 'Se', 'Cl']","[1, 1, 1]",-2.235914703333331,-80.5222793,3
Se-CN-Gd,"['Gd', 'C', 'Se', 'N']","[1, 1, 1, 1]",-0.7052566299999974,-88.14335471,4
Se-F-Gd,"['Gd', 'Se', 'F']","[1, 1, 1]",-2.773151526666671,-77.74965287,3
Se-I-Gd,"['Gd', 'Se', 'I']","[1, 1, 1]",-1.833861923333335,-108.12069196,3
Se-NC-Gd,"['Gd', 'C', 'Se', 'N']","[1, 1, 1, 1]",-0.767092222499997,-88.39069708,4
Se-OH-Gd,"['Gd', 'H', 'Se', 'O']","[1, 1, 1, 1]",-1.862880077499998,-83.0069685,4
S-OH-Gd,"['Gd', 'H', 'S', 'O']","[1, 1, 1, 1]",-1.9801743692499976,-73.02862379,4
NH-Br-Ce,"['Ce', 'H', 'Br', 'N']","[1, 1, 1, 1]",-1.5370773149999977,-80.70061126,4
NH-Cl-Ce,"['Ce', 'H', 'N', 'Cl']","[1, 1, 1, 1]",-1.6317456050000025,-69.79649242,4
NH-I-Ce,"['Ce', 'H', 'I', 'N']","[1, 1, 1, 1]",-1.2927396224999974,-97.24503949,4
NH-NCO-Ce,"['Ce', 'H', 'C', 'N', 'O']","[1, 1, 1, 2, 1]",-1.0572521316666652,-87.27661029,6
NH-OH-Ce,"['Ce', 'H', 'N', 'O']","[1, 2, 1, 1]",-1.4767459779999996,-72.39415289,5
NH-SH-Ce,"['Ce', 'H', 'S', 'N']","[1, 2, 1, 1]",-0.9816024814000002,-73.38103622,5
O-CN-Ce,"['Ce', 'C', 'N', 'O']","[1, 1, 1, 1]",-1.4506824875,-73.99840395,4
O-NC-Ce,"['Ce', 'C', 'N', 'O']","[1, 1, 1, 1]",-1.5404059799999992,-74.35729792,4
O-NCS-Ce,"['Ce', 'C', 'S', 'N', 'O']","[1, 1, 1, 1, 1]",-1.4610537953999994,-85.11933829,5
O-OCN-Ce,"['Ce', 'C', 'N', 'O']","[1, 1, 1, 2]",-1.6725387040000015,-82.71416202,5
PH-Br-Ce,"['Ce', 'P', 'H', 'Br']","[1, 1, 1, 1]",-1.2609491324999986,-80.72066717,4
PH-Cl-Ce,"['Ce', 'P', 'H', 'Cl']","[1, 1, 1, 1]",-1.3355788374999982,-69.73639399,4
PH-CN-Ce,"['Ce', 'P', 'H', 'C', 'N']","[1, 1, 1, 1, 1]",-0.29417279799999674,-77.37273563,5
PH-F-Ce,"['Ce', 'P', 'H', 'F']","[1, 1, 1, 1]",-1.6827196850000021,-66.74062048,4
PH-I-Ce,"['Ce', 'P', 'H', 'I']","[1, 1, 1, 1]",-1.0681152275000017,-97.47111055,4
PH-NC-Ce,"['Ce', 'P', 'H', 'C', 'N']","[1, 1, 1, 1, 1]",-0.2793560339999971,-77.29865181,5
PH-OCN-Ce,"['Ce', 'P', 'H', 'C', 'N', 'O']","[1, 1, 1, 1, 1, 1]",-0.6261401066666655,-85.81450678,6
PH-OH-Ce,"['Ce', 'P', 'H', 'O']","[1, 1, 2, 1]",-1.152342588000002,-71.89670458,5
