Compound,eta_cation,min_eta_anion,max_eta_anion,mean_eta_anion,std-dev_eta_anion,min_diff_eta,max_diff_eta,mean_diff_eta,std-dev_diff_eta,mean_eta_both,geom-mean_eta_both,eta_all,Formation_energy
OH-OH-Ba,12.8,5.6,5.6,5.6,0.0,7.200000000000001,7.200000000000001,7.200000000000001,0.0,8.0,7.376698067293514,"[12.8, 5.6, 5.6]",-1.865620294
OH-OH-Be,67.8,5.6,5.6,5.6,0.0,62.199999999999996,62.199999999999996,62.199999999999996,0.0,26.33333333333333,12.85884365507179,"[67.8, 5.6, 5.6]",-1.597309436
OH-OH-Ca,19.7,5.6,5.6,5.6,0.0,14.1,14.1,14.1,0.0,10.299999999999999,8.516884546457847,"[19.7, 5.6, 5.6]",-2.0115435059999998
OH-OH-Cd,10.3,5.6,5.6,5.6,0.0,4.700000000000001,4.700000000000001,4.700000000000001,0.0,7.166666666666667,6.861268681086566,"[10.3, 5.6, 5.6]",-1.114656222
OH-OH-Co,8.2,5.6,5.6,5.6,0.0,2.5999999999999996,2.5999999999999996,2.5999999999999996,0.0,6.466666666666666,6.359114363184866,"[8.2, 5.6, 5.6]",-0.993518962
OH-OH-Cu,8.3,5.6,5.6,5.6,0.0,2.700000000000001,2.700000000000001,2.700000000000001,0.0,6.5,6.3848600462313705,"[8.3, 5.6, 5.6]",-0.8033177140000001
OH-OH-Fe,7.3,5.6,5.6,5.6,0.0,1.7000000000000002,1.7000000000000002,1.7000000000000002,0.0,6.166666666666667,6.117391914176263,"[7.3, 5.6, 5.6]",-1.032979692
OH-OH-Mg,32.5,5.6,5.6,5.6,0.0,26.9,26.9,26.9,0.0,14.566666666666668,10.063594713918446,"[32.5, 5.6, 5.6]",-1.876676044
OH-OH-Mn,9.3,5.6,5.6,5.6,0.0,3.700000000000001,3.700000000000001,3.700000000000001,0.0,6.833333333333333,6.631620532552744,"[9.3, 5.6, 5.6]",-1.083261214
OH-OH-Ni,8.5,5.6,5.6,5.6,0.0,2.9000000000000004,2.9000000000000004,2.9000000000000004,0.0,6.566666666666666,6.435737570130743,"[8.5, 5.6, 5.6]",-1.141403212
OH-OH-Pb,8.5,5.6,5.6,5.6,0.0,2.9000000000000004,2.9000000000000004,2.9000000000000004,0.0,6.566666666666666,6.435737570130743,"[8.5, 5.6, 5.6]",-0.991816316
OH-OH-Pd,6.8,5.6,5.6,5.6,0.0,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,6.0,5.97440952831622,"[6.8, 5.6, 5.6]",-0.538130452
OH-OH-Pt,8.0,5.6,5.6,5.6,0.0,2.4000000000000004,2.4000000000000004,2.4000000000000004,0.0,6.3999999999999995,6.306988130484194,"[8.0, 5.6, 5.6]",-0.30438383199999997
OH-OH-Sr,16.3,5.6,5.6,5.6,0.0,10.700000000000001,10.700000000000001,10.700000000000001,0.0,9.166666666666666,7.995664317323126,"[16.3, 5.6, 5.6]",-1.957151412
OH-OH-Zn,10.8,5.6,5.6,5.6,0.0,5.200000000000001,5.200000000000001,5.200000000000001,0.0,7.333333333333333,6.970542880276446,"[10.8, 5.6, 5.6]",-1.230170328
OH-O-Al,45.8,4.9,5.6,5.25,0.34999999999999964,40.199999999999996,40.9,40.55,0.3500000000000014,18.766666666666666,10.791534289423991,"[45.8, 4.9, 5.6]",-2.3588469925
OH-O-Bi,9.9,4.9,5.6,5.25,0.34999999999999964,4.300000000000001,5.0,4.65,0.34999999999999964,6.8,6.4764910128558375,"[9.9, 4.9, 5.6]",-0.9496404925
OH-O-Ce,8.3,4.9,5.6,5.25,0.34999999999999964,2.700000000000001,3.4000000000000004,3.0500000000000007,0.34999999999999964,6.266666666666667,6.106898940036773,"[8.3, 4.9, 5.6]",-2.5827947675
OH-O-Co,8.9,4.9,5.6,5.25,0.34999999999999964,3.3000000000000007,4.0,3.6500000000000004,0.34999999999999964,6.466666666666666,6.250643133818353,"[8.9, 4.9, 5.6]",-1.141578085
OH-O-Cr,9.1,4.9,5.6,5.25,0.34999999999999964,3.5,4.199999999999999,3.8499999999999996,0.34999999999999964,6.533333333333334,6.29711802338558,"[9.1, 4.9, 5.6]",-1.8277956625
