Ion,Hardness
Al3+,45.8
Bi3+,9.9
Ce3+,8.3
Co3+,8.9
Cr3+,9.1
Fe3+,13.1
Ga3+,17
Gd3+,11.7
In3+,13
Ir3+,7.9
La3+,15.4
Lu3+,12.1
Nd3+,9.2
Rh3+,11.2
Ru3+,10.7
Sc3+,24.6
Sm3+,9
Y3+,20.6
Ba2+,12.8
Be2+,67.8
Ca2+,19.7
Cd2+,10.3
Co2+,8.2
Cu2+,8.3
Fe2+,7.3
Mg2+,32.5
Mn2+,9.3
Ni2+,8.5
Pb2+,8.5
Pd2+,6.8
Pt2+,8
Sr2+,16.3
Zn2+,10.8
Ce4+,14.4
Ge4+,23.9
Hf4+,28
Ir4+,18.3
Mo4+,7.2
Os4+,6.8
Pd4+,8.6
Pt4+,8.7
Re4+,10.5
Ru4+,8.5
Sn4+,18.3
Tc4+,12.8
Te4+,10.7
Ti4+,28
W4+,5.5
Zr4+,23
O2-,4.9
S2-,3.3
Se2-,2.8
Te2-,6.4
NH2-,3.6
PH2-,2.2
OH1-,5.6
Br1-,4.2
Cl1-,4.7
F1-,7
I1-,3.7
NCO1-,4.1
OCN1-,4.8
CN1-,5.3
NC1-,5.4
NCS1-,4
SCN1-,3.8
SH1-,4.1
NO1-,4.6
