Compound,Hessian_eig_min_abs
OH-OH-Ba,3.136000587369276e-05
OH-OH-Be,1.926014503079913e-05
OH-OH-Ca,2.8417156838433665e-05
OH-OH-Cd,5.232655212424628e-05
OH-OH-Co,9.723153969824554e-06
OH-OH-Cu,4.7446985969103636e-05
OH-OH-Fe,0.00039925981229167013
OH-OH-Mg,0.0030575940594387238
OH-OH-Mn,0.0012947675418491643
OH-OH-Ni,0.007877959876213246
OH-OH-Pb,7.182813431937495e-05
OH-OH-Pd,1.1284943997319342e-05
OH-OH-Pt,9.037762945597746e-06
OH-OH-Sr,4.0464447586916895e-06
OH-OH-Zn,0.0003724818109085967
OH-O-Al,9.171819922181268e-05
OH-O-Bi,0.000211027072236025
OH-O-Ce,3.897146351579606e-05
OH-O-Co,0.00010038136153257144
OH-O-Cr,0.0004925221397956729
OH-O-Fe,0.0006601043892471427
OH-O-Ga,8.637218744344761e-06
OH-O-Gd,9.072370945393254e-07
OH-O-In,0.0008349991566882113
OH-O-Ir,0.00013808063743942563
OH-O-La,0.000979758483244368
OH-O-Lu,0.06747032898929291
OH-O-Nd,0.0002551963253367739
OH-O-Rh,1.9677195946292034e-05
OH-O-Ru,9.741787115792402e-05
OH-O-Sc,8.272230303881461e-05
OH-O-Sm,0.00015696852758415812
OH-O-Y,0.000189040886907926
O-O-Ce,3.387635831833191e-05
O-O-Ge,2.3971958083295837e-07
O-O-Hf,5.785729383240017e-07
O-O-Ir,3.465555663041078e-06
O-O-Mo,2.1850281507373814e-05
O-O-Os,0.00019231826095267483
O-O-Pd,2.3599533185656726e-07
O-O-Pt,9.499489847723577e-06
O-O-Re,3.930476966528586e-08
O-O-Ru,0.00016568943595396857
O-O-Sn,1.5954642154673935e-05
O-O-Tc,2.8834993504621344e-06
O-O-Te,7.921127122601947e-07
O-O-Ti,5.6570608418367925e-06
O-O-W,1.8735564123230632e-06
O-O-Zr,7.142607864419059e-06
NH-OH-Al,3.822053423680264e-05
NH-OH-Bi,3.57162186757663e-05
NH-OH-Ce,6.068354166151681e-06
NH-OH-Co,6.672837381395175e-05
NH-OH-Cr,1.0843630053706383e-05
NH-OH-Fe,0.0005633133965471663
NH-OH-Ga,0.00010724501315438053
NH-OH-Gd,5.332936770680995e-05
NH-OH-In,1.649543210099428e-05
NH-OH-Ir,5.2791414726346245e-05
NH-OH-La,0.00022867112877392385
NH-OH-Lu,0.7585615888688775
NH-OH-Nd,0.00010403241641995343
NH-OH-Rh,0.00013420851235249835
NH-OH-Ru,1.588290490645632e-05
NH-OH-Sc,4.168366655193146e-05
NH-OH-Sm,2.3581625515040636e-05
