2D,Compounds,E_above_hull
OH-OH-Ba,Ba,0.0
OH-OH-Ba,BaH2,0.0
OH-OH-Ba,BaH2O2,0.0
OH-OH-Ba,BaH4O3,0.0
OH-OH-Ba,BaH8O5,0.0
OH-OH-Ba,BaO,0.0
OH-OH-Ba,BaO2,0.0
OH-OH-Ba,H,0.0
OH-OH-Ba,H2O,0.0
OH-OH-Ba,O,0.0
OH-OH-Ba,OH-OH-Ba,0.0946699502500028
OH-OH-Be,Be,0.0
OH-OH-Be,BeH2,0.31473461444444384
OH-OH-Be,BeO,0.0
OH-OH-Be,H,0.0
OH-OH-Be,H2O,0.0
OH-OH-Be,O,0.0
OH-OH-Be,OH-OH-Be,0.2784097758333335
OH-OH-Ca,Ca,0.0
OH-OH-Ca,CaH2,0.0
OH-OH-Ca,CaH2O2,0.0
OH-OH-Ca,CaO,0.0
OH-OH-Ca,CaO2,0.0
OH-OH-Ca,H,0.0
OH-OH-Ca,H2O,0.0
OH-OH-Ca,O,0.0
OH-OH-Ca,OH-OH-Ca,0.04485779999999906
OH-OH-Cd,Cd,0.0
OH-OH-Cd,CdH2O2,0.0
OH-OH-Cd,CdO,0.0
OH-OH-Cd,H,0.0
OH-OH-Cd,H2O,0.0
OH-OH-Cd,O,0.0
OH-OH-Cd,OH-OH-Cd,0.058096259999999234
OH-OH-Co,Co,0.0
OH-OH-Co,Co3O4,0.0
OH-OH-Co,CoHO2,0.0
OH-OH-Co,CoO,0.19216616499999972
OH-OH-Co,H,0.0
OH-OH-Co,H2O,0.0
OH-OH-Co,O,0.0
OH-OH-Co,OH-OH-Co,0.250448548555557
OH-OH-Co,OH-O-Co,0.2222204462500006
OH-OH-Cu,Cu,0.0
OH-OH-Cu,Cu2O,0.023542023333336104
OH-OH-Cu,CuO,0.0
OH-OH-Cu,H,0.0
OH-OH-Cu,H2O,0.0
OH-OH-Cu,O,0.0
OH-OH-Cu,OH-OH-Cu,0.16816623783333284
OH-OH-Fe,Fe,0.0
OH-OH-Fe,Fe2O3,0.0
OH-OH-Fe,Fe3O4,0.08508070934523815
OH-OH-Fe,FeH,0.32581490499999965
OH-OH-Fe,FeH2O2,0.09797879516666974
OH-OH-Fe,FeHO2,0.04878228770833459
OH-OH-Fe,FeO,0.0645874395833328
OH-OH-Fe,H,0.0
OH-OH-Fe,H2O,0.0
OH-OH-Fe,O,0.0
OH-OH-Fe,OH-OH-Fe,0.23266545916666992
OH-OH-Fe,OH-O-Fe,0.213718378958335
OH-OH-Mg,H,0.0
OH-OH-Mg,H2O,0.0
OH-OH-Mg,Mg,0.0
OH-OH-Mg,MgH2,0.14383374333333254
OH-OH-Mg,MgH2O2,0.0
OH-OH-Mg,MgO,0.0
OH-OH-Mg,MgO2,0.007805915833334787
OH-OH-Mg,O,0.0
OH-OH-Mg,OH-OH-Mg,0.04508508999999794
OH-OH-Mn,H,0.0
OH-OH-Mn,H2O,0.0
OH-OH-Mn,Mn,0.0
OH-OH-Mn,Mn2O3,0.0
OH-OH-Mn,Mn3O4,0.0
OH-OH-Mn,MnH,0.24762601836206954
OH-OH-Mn,MnH2O2,0.10206655929166786
OH-OH-Mn,MnO,0.0
OH-OH-Mn,MnO2,0.0
OH-OH-Mn,O,0.0
OH-OH-Mn,OH-OH-Mn,0.5031879232916676
OH-OH-Ni,H,0.0
OH-OH-Ni,H2O,0.0
OH-OH-Ni,Ni,0.0
OH-OH-Ni,NiH,0.30442116749999926
OH-OH-Ni,NiO,0.0
OH-OH-Ni,NiO2,0.0
OH-OH-Ni,O,0.0
OH-OH-Ni,OH-OH-Ni,0.01416155583333456
OH-OH-Pb,H,0.0
OH-OH-Pb,H2O,0.0
OH-OH-Pb,H2Pb3O4,0.0
OH-OH-Pb,O,0.0
OH-OH-Pb,Pb,0.0
OH-OH-Pb,Pb3O4,0.0
OH-OH-Pb,PbO,0.0
OH-OH-Pb,PbO2,0.0
OH-OH-Pb,OH-OH-Pb,0.13327613305555985
OH-OH-Pd,H,0.0
OH-OH-Pd,H2O,0.0
OH-OH-Pd,HPd,0.19381879749999698
OH-OH-Pd,O,0.0
OH-OH-Pd,Pd,0.0
OH-OH-Pd,Pd2O3,0.0
OH-OH-Pd,PdO,0.0
OH-OH-Pd,PdO2,0.0
OH-OH-Pd,OH-OH-Pd,0.3806679788333369
OH-OH-Pd,O-O-Pd,0.0006395716666673934
OH-OH-Pt,H,0.0
OH-OH-Pt,H2O,0.0
OH-OH-Pt,O,0.0
OH-OH-Pt,Pt,0.0
OH-OH-Pt,Pt3O4,0.0
OH-OH-Pt,PtO2,0.0
OH-OH-Pt,OH-OH-Pt,0.5830221715833304
OH-OH-Pt,O-O-Pt,0.08510844833333664
OH-OH-Sr,H,0.0
OH-OH-Sr,H2O,0.0
OH-OH-Sr,O,0.0
OH-OH-Sr,Sr,0.0
OH-OH-Sr,SrH2,0.0
OH-OH-Sr,SrH2O2,0.0
OH-OH-Sr,SrO,0.0
OH-OH-Sr,SrO2,0.0
OH-OH-Sr,OH-OH-Sr,0.059099608499998624
OH-OH-Zn,H,0.0
OH-OH-Zn,H2O,0.0
OH-OH-Zn,O,0.0
OH-OH-Zn,Zn,0.0
OH-OH-Zn,ZnH2O2,0.0
OH-OH-Zn,ZnO,0.0
OH-OH-Zn,OH-OH-Zn,0.08030481199999961
OH-O-Al,Al,0.0
OH-O-Al,Al2O3,0.0
OH-O-Al,AlH3,0.4017842956249993
OH-O-Al,AlHO2,0.0
OH-O-Al,H,0.0
OH-O-Al,H2O,0.0
OH-O-Al,O,0.0
OH-O-Al,OH-O-Al,0.2289456049999874
OH-O-Bi,Bi,0.0
OH-O-Bi,Bi2O3,0.0
OH-O-Bi,Bi4O7,0.0
OH-O-Bi,BiO2,0.0
OH-O-Bi,H,0.0
OH-O-Bi,H2O,0.0
OH-O-Bi,O,0.0
OH-O-Bi,OH-O-Bi,0.2282599073958309
OH-O-Ce,Ce,0.0
OH-O-Ce,Ce2H5,0.3393037514285666
OH-O-Ce,Ce2O3,0.10553532150000322
OH-O-Ce,CeH2,0.0
OH-O-Ce,CeH3,0.021423659999999956
OH-O-Ce,CeH3O3,0.15726530345238565
OH-O-Ce,H,0.0
OH-O-Ce,H2O,0.0
OH-O-Ce,O,0.0
OH-O-Ce,OH-O-Ce,0.19067404250000308
OH-O-Ce,O-O-Ce,0.0
OH-O-Co,Co,0.0
OH-O-Co,Co3O4,0.0
OH-O-Co,CoHO2,0.0
OH-O-Co,CoO,0.19216616499999972
OH-O-Co,H,0.0
OH-O-Co,H2O,0.0
OH-O-Co,O,0.0
OH-O-Co,OH-OH-Co,0.250448548555557
OH-O-Co,OH-O-Co,0.2222204462500006
OH-O-Cr,Cr,0.0
OH-O-Cr,Cr2O3,0.0
OH-O-Cr,CrHO2,0.0
OH-O-Cr,CrO2,0.0
OH-O-Cr,H,0.0
OH-O-Cr,H2O,0.0
OH-O-Cr,O,0.0
OH-O-Cr,OH-O-Cr,0.23614270250000047
OH-O-Fe,Fe,0.0
OH-O-Fe,Fe2O3,0.0
OH-O-Fe,Fe3O4,0.08508070934523815
OH-O-Fe,FeH,0.32581490499999965
OH-O-Fe,FeH2O2,0.09797879516666974
OH-O-Fe,FeHO2,0.04878228770833459
OH-O-Fe,FeO,0.0645874395833328
OH-O-Fe,H,0.0
OH-O-Fe,H2O,0.0
OH-O-Fe,O,0.0
OH-O-Fe,OH-OH-Fe,0.23266545916666992
OH-O-Fe,OH-O-Fe,0.213718378958335
OH-O-Ga,Ga,0.0
OH-O-Ga,Ga2O3,0.0
OH-O-Ga,GaHO2,0.0
OH-O-Ga,H,0.0
OH-O-Ga,H2O,0.0
OH-O-Ga,O,0.0
OH-O-Ga,OH-O-Ga,0.20042824062498354
OH-O-Gd,Gd,0.0
OH-O-Gd,Gd2O3,1.1767209525000055
OH-O-Gd,GdH2,0.0
OH-O-Gd,GdH3,3.2349763449999998
OH-O-Gd,GdH3O3,1.637934083452386
OH-O-Gd,H,0.0
OH-O-Gd,H2O,0.0
OH-O-Gd,O,0.0
OH-O-Gd,OH-O-Gd,0.0
OH-O-In,H,0.0
OH-O-In,H2O,0.0
OH-O-In,In,0.0
OH-O-In,In2O3,0.0
OH-O-In,InHO2,0.0
OH-O-In,O,0.0
OH-O-In,OH-O-In,0.2051419287499776
OH-O-Ir,H,0.0
OH-O-Ir,H2O,0.0
OH-O-Ir,Ir,0.0
OH-O-Ir,IrO2,0.0
OH-O-Ir,O,0.0
OH-O-Ir,OH-O-Ir,0.39504316770833015
OH-O-Ir,O-O-Ir,0.3432976950000004
OH-O-La,H,0.0
OH-O-La,H2O,0.0
OH-O-La,La,0.0
OH-O-La,La2H5,0.004837613571424981
OH-O-La,La2O3,0.0
OH-O-La,La4H9,0.00019582076922830538
OH-O-La,LaH2,0.0
OH-O-La,LaH3,0.02991134000000173
OH-O-La,LaH3O3,0.0
OH-O-La,LaHO,0.0
OH-O-La,O,0.0
OH-O-La,OH-O-La,0.1797253776041572
OH-O-Lu,H,0.0
OH-O-Lu,H2O,0.0
OH-O-Lu,Lu,0.0
