Compound,Formation_energy,E_above_hull,Hessian_eig_min_abs,C11,C22,C66,Thermo_stability_level,Dyn_stability_level,Thermo_Dyn_stability_level
OH-OH-Ba,-1.865620294,0.09466995,3.136000587369276e-05,33.007338,33.007068,9.321372,H,m,Hm
OH-OH-Be,-1.597309436,0.278409776,1.926014503079913e-05,96.025514,96.02553331,24.97261442,M,m,Mm
OH-OH-Ca,-2.011543506,0.0448578,2.8417156838433668e-05,50.202342,50.202216,16.639704000000002,H,m,Hm
OH-OH-Cd,-1.114656222,0.05809626,5.2326552124246286e-05,45.58023,45.58014,12.299292,H,m,Hm
OH-OH-Co,-0.993518962,0.250448549,9.723153969824554e-06,48.74715359,48.74713808,10.00679323,M,h,Mh
OH-OH-Cu,-0.8033177140000001,0.168166238,4.7446985969103636e-05,49.847471999999996,49.847454,11.58318,H,m,Hm
OH-OH-Fe,-1.032979692,0.232665459,0.0003992598122916701,73.13497688,73.13496069,19.86067581,M,m,Mm
OH-OH-Mg,-1.876676044,0.04508509,0.0030575940594387238,74.04819245,74.04813332,26.44817584,H,m,Hm
OH-OH-Mn,-1.083261214,0.5031879229999999,0.0012947675418491645,38.1674104,38.1674104,-6.84039662,M,l,Ml
OH-OH-Ni,-1.141403212,0.014161556,0.007877959876213245,50.71351763,50.71348823,7.92780736,H,m,Hm
OH-OH-Pb,-0.991816316,0.13327613300000002,7.182813431937495e-05,31.81851084,31.81830792,8.42472743,H,m,Hm
OH-OH-Pd,-0.538130452,0.380667979,1.1284943997319342e-05,38.844306,38.844252000000004,-1.83762,M,l,Ml
OH-OH-Pt,-0.304383832,0.5830221720000001,9.037762945597746e-06,-31.799142,-31.799106,-82.939428,M,l,Ml
OH-OH-Sr,-1.957151412,0.059099608,4.0464447586916895e-06,42.05061779,42.05042452,13.08933405,H,h,Hh
OH-OH-Zn,-1.230170328,0.080304812,0.0003724818109085967,64.967202,64.967202,17.614548000000003,H,m,Hm
OH-O-Al,-2.358846993,0.228945605,9.171819922181268e-05,119.95443464,119.95434725,26.57598776,M,m,Mm
OH-O-Bi,-0.949640493,0.228259907,0.000211027072236025,59.548086,59.547978,17.254296,M,m,Mm
OH-O-Ce,-2.5827947680000003,0.190674043,3.8971463515796054e-05,75.3097069,75.30949184,24.63806148,H,m,Hm
OH-O-Co,-1.141578085,0.222220446,0.00010038136153257143,104.9746908,104.97463674,40.68414626,M,m,Mm
OH-O-Cr,-1.827795663,0.236142703,0.0004925221397956729,64.62125553,64.62123797,13.91939521,M,m,Mm
OH-O-Fe,-1.21004957,0.213718379,0.0006601043892471428,122.02689358,122.02684104,40.25990302,M,m,Mm
OH-O-Ga,-1.5547389880000002,0.200428241,8.637218744344761e-06,91.4853155,91.4852197,10.42254365,M,h,Mh
OH-O-Gd,-2.577302993,0.0,9.072370945393255e-07,95.90294053,95.90294053,29.35427381,H,h,Hh
OH-O-In,-1.40444888,0.205141929,0.0008349991566882112,80.82273599999999,80.822592,20.023938,M,m,Mm
OH-O-Ir,-0.54753223,0.395043168,0.00013808063743942563,124.49525929,124.49510588,43.61627788,M,m,Mm
OH-O-La,-2.65291214,0.17972537800000002,0.000979758483244368,77.02772399999999,77.02754399999999,22.682052,H,m,Hm
OH-O-Lu,-2.78973687,0.164076718,0.06747032898929291,100.94465921,100.94451994,33.46021334,H,m,Hm
OH-O-Nd,-2.593610633,0.200480874,0.0002551963253367739,81.81027823,81.81009613,25.81386408,M,m,Mm
OH-O-Rh,-0.842236943,0.288726029,1.9677195946292034e-05,78.744762,78.744708,30.638034,M,m,Mm
OH-O-Ru,-0.800851885,0.313715258,9.741787115792403e-05,94.000608,94.00059,31.14,M,m,Mm
OH-O-Sc,-2.714215098,0.150334832,8.272230303881461e-05,104.15963049,104.1595323,34.7121755,H,m,Hm
OH-O-Sm,-2.63276329,0.197034431,0.00015696852758415814,85.20599277,85.20579285,27.19690527,H,m,Hm
OH-O-Y,-2.734491985,0.210929342,0.000189040886907926,90.34729200000001,90.347094,29.682756,M,m,Mm
O-O-Ce,-3.486907093,0.0,3.387635831833191e-05,116.597448,116.597394,33.95583,H,m,Hm
O-O-Ge,-1.67367336,0.201603712,2.397195808329584e-07,156.47697303,156.47690757,55.2904809,M,h,Mh
O-O-Hf,-3.613547533,0.315539942,5.785729383240017e-07,168.8278983,168.82788064,65.79529971,M,h,Mh
O-O-Ir,-0.6170653770000001,0.343297695,3.4655556630410782e-06,152.01408575,152.01406712,51.28681837,M,h,Mh
O-O-Mo,-1.6906859,0.462739523,2.1850281507373814e-05,96.89315033,96.89315033,10.85363224,M,m,Mm
O-O-Os,-0.56077649,0.448331203,0.00019231826095267483,57.829235700000005,57.82925415,12.98863292,M,m,Mm
O-O-Pd,-0.535892797,0.0006395719999999999,2.3599533185656728e-07,119.19790573,119.19788649,44.50004027,H,h,Hh
O-O-Pt,-0.6775186870000001,0.085108448,9.499489847723577e-06,138.83402529,138.8339882,53.24173206,H,h,Hh
O-O-Re,-1.034193353,0.519886547,3.9304769665285865e-08,97.71077972,97.71077972,41.08900064,M,h,Mh
O-O-Ru,-0.940851393,0.32527738,0.00016568943595396854,66.302367,66.302367,13.34191037,M,m,Mm
O-O-Sn,-1.65445234,0.25542572,1.5954642154673935e-05,127.89592603,127.89594379,45.72020514,M,m,Mm
O-O-Tc,-1.4606548469999998,0.24046482,2.8834993504621344e-06,84.4043362,84.40435429,27.43036192,M,h,Mh
O-O-Te,-0.64455192,0.5624749370000001,7.921127122601947e-07,80.23355974,80.23355974,31.43267562,M,h,Mh
O-O-Ti,-3.19809169,0.201685732,5.6570608418367925e-06,153.50715553,153.50713526,58.17361885,M,h,Mh
O-O-W,-1.643642923,0.477236948,1.8735564123230632e-06,119.80987533,119.80987533,22.70617661,M,h,Mh
O-O-Zr,-3.53233204,0.313608449,7.142607864419058e-06,157.01019495,157.01026368,59.35007963,M,h,Mh
NH-OH-Al,-1.3323578,0.290940834,3.822053423680264e-05,97.65568085,97.6555994,13.15430387,M,m,Mm
NH-OH-Bi,-0.309355838,0.359658372,3.57162186757663e-05,55.74448,55.744319999999995,15.97528,M,m,Mm
NH-OH-Ce,-1.476745978,0.5478782170000001,6.068354166151682e-06,72.07132,72.07134,21.726879999999998,M,h,Mh
NH-OH-Co,-0.656546626,0.146619454,6.672837381395175e-05,119.71605441,119.71598374,43.89409574,H,m,Hm
NH-OH-Cr,-0.921065908,0.285157192,1.0843630053706384e-05,97.41189958,97.41182356,28.24884862,M,m,Mm
NH-OH-Fe,-0.576914392,0.242121273,0.0005633133965471662,66.24751608,66.24746112,-0.58442887,M,l,Ml
