Compound,Formation_energy,E_above_hull,Thermo_stability_level
OH-OH-Ba,-1.865620294,0.09466995,H
OH-OH-Be,-1.597309436,0.278409776,M
OH-OH-Ca,-2.0115435059999998,0.0448578,H
OH-OH-Cd,-1.114656222,0.05809626,H
OH-OH-Co,-0.993518962,0.25044854899999996,M
OH-OH-Cu,-0.8033177140000001,0.168166238,H
OH-OH-Fe,-1.032979692,0.232665459,M
OH-OH-Mg,-1.876676044,0.04508509,H
OH-OH-Mn,-1.083261214,0.5031879229999999,M
OH-OH-Ni,-1.141403212,0.014161556,H
OH-OH-Pb,-0.991816316,0.13327613300000002,H
OH-OH-Pd,-0.538130452,0.380667979,M
OH-OH-Pt,-0.30438383199999997,0.5830221720000001,M
OH-OH-Sr,-1.957151412,0.059099608,H
OH-OH-Zn,-1.230170328,0.080304812,H
OH-O-Al,-2.3588469930000002,0.228945605,M
OH-O-Bi,-0.949640493,0.22825990699999998,M
OH-O-Ce,-2.5827947680000003,0.19067404300000002,H
OH-O-Co,-1.141578085,0.22222044600000002,M
OH-O-Cr,-1.827795663,0.236142703,M
OH-O-Fe,-1.21004957,0.21371837899999999,M
OH-O-Ga,-1.5547389880000002,0.200428241,M
OH-O-Gd,-2.577302993,0.0,H
OH-O-In,-1.40444888,0.20514192899999997,M
OH-O-Ir,-0.54753223,0.39504316799999994,M
OH-O-La,-2.65291214,0.17972537800000002,H
OH-O-Lu,-2.78973687,0.164076718,H
OH-O-Nd,-2.593610633,0.20048087399999998,M
OH-O-Rh,-0.842236943,0.288726029,M
OH-O-Ru,-0.800851885,0.313715258,M
OH-O-Sc,-2.714215098,0.150334832,H
OH-O-Sm,-2.63276329,0.197034431,H
OH-O-Y,-2.734491985,0.210929342,M
O-O-Ce,-3.486907093,0.0,H
O-O-Ge,-1.67367336,0.201603712,M
O-O-Hf,-3.613547533,0.315539942,M
O-O-Ir,-0.6170653770000001,0.343297695,M
O-O-Mo,-1.6906859,0.462739523,M
O-O-Os,-0.56077649,0.44833120299999996,M
O-O-Pd,-0.535892797,0.0006395719999999999,H
O-O-Pt,-0.6775186870000001,0.085108448,H
O-O-Re,-1.034193353,0.519886547,M
O-O-Ru,-0.940851393,0.32527738,M
O-O-Sn,-1.65445234,0.25542572,M
O-O-Tc,-1.4606548469999998,0.24046482,M
O-O-Te,-0.64455192,0.5624749370000001,M
O-O-Ti,-3.19809169,0.20168573199999998,M
O-O-W,-1.643642923,0.477236948,M
O-O-Zr,-3.53233204,0.313608449,M
NH-OH-Al,-1.3323578,0.290940834,M
NH-OH-Bi,-0.309355838,0.359658372,M
NH-OH-Ce,-1.476745978,0.5478782170000001,M
NH-OH-Co,-0.656546626,0.146619454,H
NH-OH-Cr,-0.921065908,0.285157192,M
NH-OH-Fe,-0.576914392,0.242121273,M
NH-OH-Ga,-0.81355933,0.22700525100000002,M
NH-OH-Gd,-1.4430269340000001,0.138443324,H
NH-OH-In,-0.699562786,0.195147178,H
NH-OH-Ir,-0.2936719,0.35226175,M
NH-OH-La,-1.469984264,0.265755571,M
NH-OH-Lu,-1.601671202,0.305864811,M
NH-OH-Nd,-1.4388768680000001,0.281787715,M
NH-OH-Rh,-0.489620646,0.15630976300000002,H
NH-OH-Ru,-0.355887312,0.290041659,M
NH-OH-Sc,-1.562290044,0.303261999,M
NH-OH-Sm,-1.4722044,0.287939398,M
NH-OH-Y,-1.5595656580000001,0.295140033,M
PH-OH-Al,-0.643421426,0.849173188,M
PH-OH-Bi,-0.319930276,0.575840841,M
PH-OH-Ce,-1.152342588,0.917954321,M
PH-OH-Co,-0.578387012,0.48764435100000003,M
PH-OH-Cr,-0.6058054979999999,0.608538452,M
PH-OH-Fe,-0.454951592,0.618491769,M
PH-OH-Ga,-0.41092553600000004,0.6865523379999999,M
PH-OH-Gd,-1.078825434,0.485395897,M
PH-OH-In,-0.431066712,0.612010325,M
PH-OH-Ir,-0.579195664,0.445813385,M
PH-OH-La,-1.148087324,0.6630999360000001,M
PH-OH-Lu,-1.119363158,0.728977268,M
PH-OH-Nd,-1.0981793579999999,0.689887542,M
PH-OH-Rh,-0.677692792,0.45556787299999996,M
PH-OH-Ru,-0.43539428399999996,0.584914875,M
PH-OH-Sc,-1.0940541240000001,0.695967482,M
PH-OH-Sm,-1.103228004,0.6883673359999999,M
PH-OH-Y,-1.1369077459999999,0.6975988409999999,M
S-OH-Al,-1.357853244,0.487927637,M
S-OH-Bi,-0.668961472,0.127824362,H
S-OH-Ce,-1.9209606369999999,0.254561875,M
S-OH-Co,-0.8444798020000001,0.13934639,H
S-OH-Cr,-1.131475022,0.34786054899999996,M
S-OH-Fe,-0.760498997,0.265729648,M
S-OH-Ga,-0.910350124,0.285716326,M
S-OH-Gd,-1.980174369,3.182508605,M
S-OH-In,-0.935089122,0.181343781,H
S-OH-Ir,-0.629656787,0.19450168199999998,H
S-OH-La,-2.0051482369999998,0.385929824,M
S-OH-Lu,-1.991505667,0.353912099,M
S-OH-Nd,-1.937591737,0.307868162,M
S-OH-Rh,-0.821152889,0.097148085,H
S-OH-Ru,-0.607813659,0.294918461,M
S-OH-Sc,-1.9360849169999998,0.322688354,M
S-OH-Sm,-1.9507802490000001,0.299927099,M
S-OH-Y,-2.0107418619999997,0.31058927199999997,M
Se-OH-Al,-1.12747815,0.662139235,M
Se-OH-Bi,-0.676359375,0.12232148300000001,H
Se-OH-Ce,-1.9296903769999998,0.662326584,M
Se-OH-Co,-0.7391721,0.181060731,H
Se-OH-Cr,-1.03107403,0.39969952,M
Se-OH-Fe,-0.646776,0.289496419,M
Se-OH-Ga,-0.777191295,0.389769793,M
Se-OH-Gd,-1.8628800769999998,3.4019342089999998,M
