Compound,Formation_energy,E_above_hull
OH-OH-Ba,-1.865620294,0.09466995
OH-OH-Be,-1.597309436,0.278409776
OH-OH-Ca,-2.011543506,0.0448578
OH-OH-Cd,-1.114656222,0.05809626
OH-OH-Co,-0.993518962,0.250448549
OH-OH-Cu,-0.803317714,0.168166238
OH-OH-Fe,-1.032979692,0.232665459
OH-OH-Mg,-1.876676044,0.04508509
OH-OH-Mn,-1.083261214,0.503187923
OH-OH-Ni,-1.141403212,0.014161556
OH-OH-Pb,-0.991816316,0.133276133
OH-OH-Pd,-0.538130452,0.380667979
OH-OH-Pt,-0.304383832,0.583022172
OH-OH-Sr,-1.957151412,0.059099608
OH-OH-Zn,-1.230170328,0.080304812
OH-O-Al,-2.358846993,0.228945605
OH-O-Bi,-0.949640493,0.228259907
OH-O-Ce,-2.582794768,0.190674043
OH-O-Co,-1.141578085,0.222220446
OH-O-Cr,-1.827795663,0.236142703
OH-O-Fe,-1.21004957,0.213718379
OH-O-Ga,-1.554738988,0.200428241
OH-O-Gd,-2.577302993,0
OH-O-In,-1.40444888,0.205141929
OH-O-Ir,-0.54753223,0.395043168
OH-O-La,-2.65291214,0.179725378
OH-O-Lu,-2.78973687,0.164076718
OH-O-Nd,-2.593610633,0.200480874
OH-O-Rh,-0.842236943,0.288726029
OH-O-Ru,-0.800851885,0.313715258
OH-O-Sc,-2.714215098,0.150334832
OH-O-Sm,-2.63276329,0.197034431
OH-O-Y,-2.734491985,0.210929342
O-O-Ce,-3.486907093,0
O-O-Ge,-1.67367336,0.201603712
O-O-Hf,-3.613547533,0.315539942
O-O-Ir,-0.617065377,0.343297695
O-O-Mo,-1.6906859,0.462739523
O-O-Os,-0.56077649,0.448331203
O-O-Pd,-0.535892797,0.000639572
O-O-Pt,-0.677518687,0.085108448
O-O-Re,-1.034193353,0.519886547
O-O-Ru,-0.940851393,0.32527738
O-O-Sn,-1.65445234,0.25542572
O-O-Tc,-1.460654847,0.24046482
O-O-Te,-0.64455192,0.562474937
O-O-Ti,-3.19809169,0.201685732
O-O-W,-1.643642923,0.477236948
O-O-Zr,-3.53233204,0.313608449
NH-OH-Al,-1.3323578,0.290940834
NH-OH-Bi,-0.309355838,0.359658372
NH-OH-Ce,-1.476745978,0.547878217
NH-OH-Co,-0.656546626,0.146619454
NH-OH-Cr,-0.921065908,0.285157192
NH-OH-Fe,-0.576914392,0.242121273
NH-OH-Ga,-0.81355933,0.227005251
NH-OH-Gd,-1.443026934,0.138443324
NH-OH-In,-0.699562786,0.195147178
NH-OH-Ir,-0.2936719,0.35226175
NH-OH-La,-1.469984264,0.265755571
NH-OH-Lu,-1.601671202,0.305864811
NH-OH-Nd,-1.438876868,0.281787715
NH-OH-Rh,-0.489620646,0.156309763
NH-OH-Ru,-0.355887312,0.290041659
NH-OH-Sc,-1.562290044,0.303261999
NH-OH-Sm,-1.4722044,0.287939398
NH-OH-Y,-1.559565658,0.295140033
PH-OH-Al,-0.643421426,0.849173188
PH-OH-Bi,-0.319930276,0.575840841
PH-OH-Ce,-1.152342588,0.917954321
PH-OH-Co,-0.578387012,0.487644351
PH-OH-Cr,-0.605805498,0.608538452
PH-OH-Fe,-0.454951592,0.618491769
PH-OH-Ga,-0.410925536,0.686552338
PH-OH-Gd,-1.078825434,0.485395897
PH-OH-In,-0.431066712,0.612010325
PH-OH-Ir,-0.579195664,0.445813385
PH-OH-La,-1.148087324,0.663099936
PH-OH-Lu,-1.119363158,0.728977268
PH-OH-Nd,-1.098179358,0.689887542
PH-OH-Rh,-0.677692792,0.455567873
PH-OH-Ru,-0.435394284,0.584914875
PH-OH-Sc,-1.094054124,0.695967482
PH-OH-Sm,-1.103228004,0.688367336
PH-OH-Y,-1.136907746,0.697598841
S-OH-Al,-1.357853244,0.487927637
S-OH-Bi,-0.668961472,0.127824362
S-OH-Ce,-1.920960637,0.254561875
S-OH-Co,-0.844479802,0.13934639
S-OH-Cr,-1.131475022,0.347860549
S-OH-Fe,-0.760498997,0.265729648
S-OH-Ga,-0.910350124,0.285716326
S-OH-Gd,-1.980174369,3.182508605
S-OH-In,-0.935089122,0.181343781
S-OH-Ir,-0.629656787,0.194501682
S-OH-La,-2.005148237,0.385929824
S-OH-Lu,-1.991505667,0.353912099
S-OH-Nd,-1.937591737,0.307868162
S-OH-Rh,-0.821152889,0.097148085
S-OH-Ru,-0.607813659,0.294918461
S-OH-Sc,-1.936084917,0.322688354
S-OH-Sm,-1.950780249,0.299927099
S-OH-Y,-2.010741862,0.310589272
Se-OH-Al,-1.12747815,0.662139235
Se-OH-Bi,-0.676359375,0.122321483
Se-OH-Ce,-1.929690377,0.662326584
Se-OH-Co,-0.7391721,0.181060731
Se-OH-Cr,-1.03107403,0.39969952
Se-OH-Fe,-0.646776,0.289496419
Se-OH-Ga,-0.777191295,0.389769793
Se-OH-Gd,-1.862880077,3.401934209
Se-OH-In,-0.8493986,0.232321872
Se-OH-Ir,-0.53869928,0.198082594
Se-OH-La,-1.905174268,0.342531099
Se-OH-Lu,-1.848020385,0.442585315
Se-OH-Nd,-1.836445185,0.34521697
Se-OH-Rh,-0.754634675,0.061065913
Se-OH-Ru,-0.501817468,0.331256107
Se-OH-Sc,-1.785366235,0.310784901
Se-OH-Sm,-1.840636505,0.362259353
Se-OH-Y,-1.886815295,0.319164959
Te-OH-Al,-0.789970385,0.939313309
Te-OH-Bi,-0.636479185,0.139778405
Te-OH-Ce,-1.736106073,0.778047629
Te-OH-Co,-0.584907168,0.320270121
Te-OH-Cr,-0.951367128,0.421556433
Te-OH-Fe,-0.614657215,0.298611796
Te-OH-Ga,-0.499394113,0.643563504
Te-OH-Gd,-1.637047668,0.262513503
Te-OH-In,-0.644713518,0.41661941
Te-OH-Ir,-0.469948973,0.307843014
Te-OH-La,-1.701025318,0.580921257
Te-OH-Lu,-1.57761889,0.590992888
Te-OH-Nd,-1.628601223,0.509506308
Te-OH-Rh,-0.699554725,0.196631996
Te-OH-Ru,-0.398636158,0.449085735
Te-OH-Sc,-1.532716545,0.575791646
Te-OH-Sm,-1.611785848,0.543753965
Te-OH-Y,-1.629780607,0.55193969
Br-Br-Ba,-2.493552243,0.141755495
Br-Br-Be,-1.00107567,0.284542583
Br-Br-Ca,-2.408886073,0.009317942
Br-Br-Cd,-1.12488076,0.015358677
Br-Br-Co,-0.59269749,0.112357108
Br-Br-Cu,-0.444974077,0.107384443
Br-Br-Fe,-0.57120809,0.27458567
Br-Br-Mg,-1.81993074,0.014185383
Br-Br-Mn,-1.35089445,0.084823447
Br-Br-Ni,-0.867052703,0.016199977
Br-Br-Pb,-1.072246693,0.00647048
Br-Br-Pd,-0.466661083,0.06547579
Br-Br-Pt,-0.12649545,0.303848739
Br-Br-Sr,-2.475157233,0.060533426
Br-Br-Zn,-1.04212917,0.080833921
Cl-Cl-Ba,-2.74706322,0.17158579
Cl-Cl-Be,-1.381516973,0.279241867
Cl-Cl-Ca,-2.700026053,0.03638235
Cl-Cl-Cd,-1.316909493,0.01540149
Cl-Cl-Co,-0.82437527,0.175655627
Cl-Cl-Cu,-0.631530977,0.11749502
Cl-Cl-Fe,-0.869023437,0.208393053
Cl-Cl-Mg,-2.157338273,0.014059973
Cl-Cl-Mn,-1.60051932,0.099576953
Cl-Cl-Ni,-1.130073327,0.012586817
Cl-Cl-Pb,-1.2318974,0.034116628
Cl-Cl-Pd,-0.59967014,0.077292456
Cl-Cl-Pt,-0.197500557,0.347510293
Cl-Cl-Sr,-2.750298233,0.106054787
Cl-Cl-Zn,-1.296597147,0.051582557
CN-CN-Ba,-0.131028746,0.615304498
CN-CN-Be,0.766575826,1.208571323
CN-CN-Ca,-0.043531204,0.802422975
CN-CN-Cd,0.738099994,0.756654733
CN-CN-Co,0.884639366,0.888924587
CN-CN-Cu,1.028019308,1.032304502
CN-CN-Fe,0.833386562,0.894334177
CN-CN-Mg,0.292618872,0.932482626
CN-CN-Mn,0.706692872,0.890966035
